employee_id,age,gender,marital_status,education_level,department,job_role,job_level,monthly_income,salary_hike_pct,years_at_company,total_working_years,years_since_promotion,num_prior_companies,work_mode,overtime_hours_per_week,business_travel_days_per_year,burnout_score,engagement_score,work_life_balance_score,performance_rating,last_review_score,uses_ai_tools_at_work,perceived_ai_job_risk,attrition
1012,39,Male,Married,Bachelors,Customer Support,Customer Success Manager,3,3730,13.1,6.5,17,0.6,5,Onsite,9.9,6,6.3,5.1,4.7,4,10,TRUE,8.5,No
1013,24,Female,Divorced,Masters,Finance,Accountant,1,3549,10.9,0,0.1,0,1,Remote,2.1,5,4,7,7.6,4,9.6,TRUE,5.1,No
1014,22,Female,Single,High School,Operations,Program Manager,2,4388,15.3,1,2,1,3,Hybrid,0.9,19,1.6,7.7,7.9,4,7.7,FALSE,2.8,No
1015,21,Female,Married,Bachelors,Marketing,Growth Manager,3,5310,10.8,0,1,0,2,Hybrid,13.2,7,4,6.1,4.4,4,10,TRUE,4.5,No
1016,21,Female,Single,Masters,Customer Support,Support Specialist,2,3541,11.1,0,1,0,3,Hybrid,5.2,5,4.9,6.2,6.8,3,7.2,FALSE,7.3,No
1017,33,Male,Single,Bachelors,Marketing,Content Strategist,3,7168,5.2,9,13,1.9,4,Hybrid,6.9,4,3.3,6.9,6.2,3,7.2,FALSE,4,No
1018,37,Male,Married,Masters,Sales,Sales Development Rep,3,7579,13.1,4.3,6.8,0,0,Hybrid,6.9,19,4.2,7.6,5.9,3,7.1,TRUE,6.1,No
1019,42,Male,Single,Bachelors,Engineering,Engineering Manager,4,9198,14.9,10.8,15.9,1.8,1,Hybrid,10.1,6,4.8,6.9,4.9,4,9.5,FALSE,1,Yes
1020,51,Female,Single,High School,Engineering,Software Engineer,5,11277,14.8,10,20.9,0.4,5,Remote,7.3,2,1.9,9.3,7.5,3,8,FALSE,2.1,No
1021,29,Male,Single,Bachelors,Marketing,Marketing Specialist,1,2897,14.2,6.6,9,2,1,Remote,8.1,7,4.1,7.6,6.4,4,7.2,TRUE,3.6,No
1022,38,Male,Married,Masters,Sales,Sales Manager,4,9683,11.3,13.3,18,3.6,3,Onsite,3.1,24,2.7,6.9,7.1,4,10,FALSE,6.5,No
1023,36,Male,Single,PhD,Operations,Program Manager,3,8419,10.7,11.6,16,2.7,1,Remote,4.9,20,3.6,6.5,5.6,4,6.9,FALSE,6,No
1024,26,Male,Married,PhD,Engineering,Data Engineer,1,4368,12.6,3.9,6,3.9,0,Remote,6.3,8,2.8,9.2,7.6,5,8.1,FALSE,3.9,No
1025,28,Male,Single,Masters,Marketing,Marketing Specialist,2,6096,11.8,5.5,8,0.7,1,Remote,5,8,2.8,6.6,8.9,4,9.7,TRUE,6.3,No
1026,40,Female,Married,Bachelors,Sales,Sales Manager,4,10168,17.4,8.8,12.7,1.1,1,Onsite,7.5,22,1.7,7.3,7.4,4,9.8,FALSE,4.8,No
1027,31,Female,Married,Bachelors,Engineering,Engineering Manager,3,7961,15.7,3.1,7.7,1.9,0,Remote,2.4,4,1.6,7.1,7.6,5,9.4,TRUE,3.5,No
1028,31,Male,Divorced,Bachelors,Finance,Financial Analyst,1,3575,12.3,5.7,11,3,4,Onsite,4.4,7,6.7,5.2,2.9,3,7.7,TRUE,7.4,Yes
1029,33,Male,Married,Bachelors,Sales,Account Executive,3,6436,17.6,1.9,9.4,0,3,Hybrid,4.8,29,3.9,8.5,5.7,4,9.6,TRUE,5.3,Yes
1030,21,Female,Divorced,Bachelors,Sales,Sales Development Rep,1,2527,15.7,0,1,0,2,Hybrid,5.4,24,4.3,5.1,6.5,4,7.8,FALSE,4.8,No
1031,39,Female,Married,High School,Engineering,QA Engineer,3,7757,10.7,5.9,11,5.9,1,Onsite,12.5,9,4.6,3.8,4.1,3,8.9,TRUE,5.2,No
1032,36,Female,Divorced,Bachelors,Customer Support,Support Specialist,3,5823,9.3,5.1,16,2.7,4,Hybrid,4,2,4.9,7.6,4.8,4,7.6,FALSE,5.1,Yes
1033,31,Male,Single,PhD,Customer Support,Support Team Lead,3,5579,8,10,11,1.5,2,Onsite,8.5,7,4.4,7.5,3.9,3,8.4,FALSE,6.9,No
1034,44,Male,Married,Bachelors,Finance,Financial Analyst,3,6331,9.6,5,12.3,5,2,Onsite,3.8,5,3.3,6.5,6.6,3,8.6,TRUE,6.6,No
1035,27,Female,Single,High School,Sales,Account Executive,2,3956,8.3,6,7,4.4,1,Hybrid,8.6,19,4.5,7.3,7.8,3,6.7,TRUE,7,No
1036,37,Female,Single,High School,Research & Development,Research Scientist,3,5225,13.4,6,12.8,0.3,1,Onsite,11,5,5.9,4.9,4.9,4,8.5,FALSE,3.9,Yes
1037,32,Female,Married,Masters,Human Resources,HR Business Partner,2,5769,12.8,7.8,12,1.5,0,Hybrid,5.3,4,3.8,5.1,6.1,3,6.6,TRUE,7.8,No
1038,39,Female,Divorced,Bachelors,Sales,Account Executive,2,6589,7.9,3.5,18,3.5,5,Onsite,24.8,27,8,4.7,2.7,3,8,TRUE,3.3,Yes
1039,25,Female,Married,Bachelors,Customer Support,Support Specialist,2,4496,14.4,4,5,1.7,3,Remote,2.7,4,1,7.5,7,3,7.4,FALSE,3.8,No
1040,37,Female,Single,PhD,Sales,Account Executive,3,8641,11.8,5.3,15.3,1.4,2,Hybrid,8.2,21,4.3,5.1,5.4,3,8.2,TRUE,7.4,No
1041,35,Male,Married,Masters,Operations,Program Manager,2,4762,8.1,2.9,12.9,1.2,3,Hybrid,1.7,24,1.1,8.3,6.4,4,8.7,FALSE,1.5,No
1042,36,Female,Single,Masters,Sales,Sales Development Rep,2,6301,10.1,4.3,12.2,3.2,2,Onsite,8.5,31,4.5,6.3,4.7,3,6.6,FALSE,6.4,No
1043,33,Female,Divorced,PhD,Engineering,Engineering Manager,5,10248,5.5,12,13,4,2,Hybrid,11.3,6,5.7,3.7,4.3,3,7.3,FALSE,3.1,Yes
1044,30,Male,Married,Bachelors,Operations,Program Manager,2,3807,10.4,2,6.8,2,0,Hybrid,7.9,17,4.5,7.3,6.8,4,10,FALSE,3.9,No
1045,35,Male,Married,Bachelors,Engineering,Engineering Manager,2,5780,5.5,11,15,3.1,3,Remote,5.3,7,4.4,6.7,5,3,7.1,FALSE,4.9,No
1046,25,Female,Single,Masters,Marketing,Marketing Specialist,4,10199,9.2,4,5,2.3,2,Remote,3.1,5,5.6,5.1,6.8,4,8.9,FALSE,6.2,No
1047,46,Male,Married,Masters,Finance,Financial Analyst,4,8535,12.6,5,17.3,3.9,5,Onsite,7.2,5,3.5,7.2,5.4,3,8,TRUE,4,No
1048,29,Non-binary,Married,Bachelors,Engineering,Software Engineer,2,5101,6.3,5.8,8.6,5.8,0,Hybrid,2.4,3,2.7,6.1,6.3,4,10,TRUE,4,No
1049,29,Female,Divorced,Bachelors,Operations,Operations Manager,3,6541,8.7,7.3,9,1.4,0,Remote,4,19,2.6,7.8,7.8,4,8.3,TRUE,7.1,No
1050,64,Male,Single,Bachelors,Human Resources,HR Business Partner,5,9537,11.7,12.4,15.9,0.9,1,Onsite,9.8,3,5.2,8.1,3.4,4,9.5,FALSE,4,No
1051,43,Male,Single,Masters,Finance,Accountant,3,9970,14.2,9.2,12.5,0.9,1,Remote,6.1,4,3.6,5.8,7.6,4,10,TRUE,5.3,No
1052,41,Female,Single,PhD,Sales,Sales Manager,2,5598,11.7,5.1,14.1,0.8,3,Onsite,13.5,26,6.3,6.1,5.1,3,8.4,FALSE,6,Yes
1053,52,Female,Married,High School,Sales,Account Executive,5,9619,11.6,15.5,23.9,3.3,3,Onsite,9.4,30,6.1,4.7,5.7,3,8.9,TRUE,5.3,No
1054,40,Male,Married,PhD,Marketing,Marketing Specialist,1,3818,14.7,7.6,11.2,2.1,2,Hybrid,1.8,6,4.8,6.1,7.1,4,8.4,TRUE,9,No
1055,31,Female,Single,Bachelors,Marketing,Content Strategist,1,3352,8.9,3.3,11,1.9,2,Onsite,5.6,7,3.9,7.2,5.6,4,7,FALSE,6.1,No
1056,29,Male,Single,Bachelors,Operations,Operations Manager,3,5951,8.2,4,8.5,3.3,2,Onsite,2,15,2.4,6,7.9,3,7.2,TRUE,6,No
1057,52,Male,Married,Bachelors,Human Resources,HR Business Partner,5,11329,8.1,11.6,22.1,2.6,4,Remote,3,6,2.6,6.1,8.3,4,8.6,FALSE,5.7,Yes
1058,30,Male,Married,Bachelors,Sales,Sales Development Rep,1,5383,11.7,5.5,7.4,0.6,1,Hybrid,5.6,15,5.2,6.9,5.7,4,9.9,TRUE,4.8,No
1059,30,Male,Single,Bachelors,Engineering,Engineering Manager,3,9308,10.1,9,10,4.3,0,Onsite,6.9,8,5.1,5.2,6,3,9.3,TRUE,1,No
1060,29,Female,Married,Bachelors,Customer Support,Customer Success Manager,3,6196,15.6,6.1,9,1.8,3,Onsite,2.5,7,4,4.4,6.1,4,9.3,TRUE,4.4,Yes
1061,35,Male,Married,Bachelors,Marketing,Content Strategist,5,8120,15.4,12.4,15,0.8,1,Hybrid,7.4,4,2.1,8.7,5.5,4,9.2,FALSE,5.8,No
1062,45,Female,Single,Masters,Sales,Sales Manager,3,6498,5.2,3.5,6.9,3,1,Onsite,7.4,16,7.7,4.2,4.4,4,7,TRUE,6.5,Yes
1063,48,Male,Single,Bachelors,Marketing,Content Strategist,5,9579,10.3,12.6,21,3,3,Onsite,5.5,7,6.3,7,7,3,8.4,TRUE,2.3,No
1064,38,Female,Married,Masters,Engineering,Engineering Manager,3,8541,11.6,8.1,15.6,3.1,2,Onsite,0.5,4,2.5,8.4,7.1,5,7.5,TRUE,4.8,No
1065,50,Male,Single,Bachelors,Customer Support,Support Specialist,5,12697,11.5,10.1,21.3,5.7,3,Hybrid,5.1,9,4.8,6.6,6.5,4,7.3,FALSE,5.1,No
1066,34,Female,Married,Masters,Research & Development,Product Researcher,1,5289,18.1,2,14,1.1,7,Onsite,4.8,4,5,4.9,7.2,3,7.7,TRUE,2.9,No
1067,26,Female,Married,High School,Engineering,QA Engineer,1,3363,12.3,5,6,2.2,3,Hybrid,10.3,4,4.2,5,5.8,5,8.5,TRUE,6.3,Yes
1068,29,Male,Single,Masters,Sales,Sales Development Rep,2,5712,11,4.6,8.3,2.5,1,Hybrid,4.5,19,4.3,6,5.9,4,9.2,FALSE,3.8,No
1069,47,Prefer not to say,Married,Masters,Operations,Program Manager,4,7021,10.3,10.8,18.4,1.7,3,Onsite,1.8,28,1.6,8.4,8.2,4,7.6,FALSE,2.5,No
1070,43,Male,Single,Bachelors,Sales,Account Executive,5,9332,13.9,12.5,20.2,2,2,Remote,9.6,28,2.4,7.9,5.9,5,8.1,FALSE,5.8,No
1071,40,Female,Single,Masters,Human Resources,HR Business Partner,1,3325,13.3,1.7,8.4,0.2,2,Hybrid,4.2,4,5.2,6.6,5.4,3,8.7,TRUE,5.6,No
1072,35,Female,Married,Masters,Sales,Account Executive,2,4756,9.5,3.7,12.4,3,3,Remote,3.9,21,5,6.1,6.1,4,8.3,FALSE,7.5,No
1073,37,Female,Single,Bachelors,Operations,Operations Manager,4,8897,13.2,6.8,17,1.1,5,Onsite,6.2,21,6,6.1,6.1,4,9.7,FALSE,4.2,Yes
1074,43,Male,Married,Masters,Research & Development,Product Researcher,3,9069,5.7,8.5,12.5,4.6,2,Hybrid,5.6,5,2.5,5.6,5.4,3,7,TRUE,2.7,No
1075,46,Male,Divorced,Bachelors,Customer Support,Support Specialist,4,7096,3.9,9.8,14.9,4.1,2,Hybrid,9.1,5,4.7,7.7,4.7,4,8,FALSE,5.8,No
1076,35,Male,Single,Bachelors,Finance,Finance Manager,2,5215,16.9,2.8,5.9,2.8,1,Remote,8.6,2,2.4,7.8,7.3,4,9.9,TRUE,4.3,No
1077,27,Female,Married,Bachelors,Engineering,Data Engineer,2,6495,14.4,6,7,2.1,3,Hybrid,6.2,6,2.3,5.9,6.4,3,10,FALSE,3.8,No
1078,21,Male,Single,Masters,Research & Development,Research Scientist,1,3873,16.4,0,1,0,0,Onsite,12.2,6,6.2,7.6,4.8,4,7.2,FALSE,3.8,No
1079,42,Female,Single,Masters,Engineering,Engineering Manager,5,11165,9.8,8.4,13.5,5.6,1,Hybrid,22.7,8,6.7,5.6,3.1,3,6.9,TRUE,4.3,Yes
1080,35,Female,Married,Bachelors,Sales,Sales Manager,3,6347,14.8,8.2,11.4,0.2,1,Onsite,6.7,25,4.5,6.6,5.6,4,6.2,TRUE,1.3,No
1081,33,Male,Married,PhD,Sales,Sales Manager,5,11339,12.5,11.1,13,3,2,Hybrid,10.8,22,5.2,5.8,4.8,3,10,TRUE,4.4,Yes
1082,44,Male,Married,Masters,Operations,Program Manager,4,8893,3.1,7.4,13.9,5.1,2,Onsite,5.4,27,5,5.8,5.4,3,8.8,TRUE,4.7,No
1083,35,Male,Divorced,Bachelors,Marketing,Growth Manager,3,6614,9.2,10.8,15,2.3,1,Hybrid,8.6,6,2.6,8.4,5.8,5,9,FALSE,4.9,No
1084,57,Female,Single,Masters,Engineering,Engineering Manager,4,12361,16.5,5.2,11,0.1,1,Hybrid,6,4,5,6,4.3,4,7.1,FALSE,5.3,Yes
1085,48,Female,Single,Masters,Engineering,QA Engineer,4,12428,14.8,11.3,13.6,0.6,0,Hybrid,2.9,7,2.9,6.6,6.2,3,8.5,FALSE,1,No
1086,40,Male,Married,Masters,Finance,Finance Manager,5,8059,10.2,7.8,18.3,2.4,1,Onsite,1,5,1,7.9,8.3,4,9.6,FALSE,6.1,No
1087,27,Male,Married,Masters,Marketing,Growth Manager,2,3701,10.8,3.1,7,1.9,2,Hybrid,3.2,10,3.4,8.2,7.1,4,7.8,TRUE,4.9,No
1088,49,Male,Single,Masters,Finance,Financial Analyst,4,9639,14.7,8.7,15.2,1.8,2,Remote,2.3,8,3.8,4.1,6.9,3,7.1,FALSE,7.3,No
1089,41,Female,Married,PhD,Human Resources,HR Manager,4,7759,10.4,11.5,18.2,0.3,2,Hybrid,3.4,4,3.4,9.5,6.2,4,6.3,FALSE,3.1,No
1090,43,Female,Married,PhD,Customer Support,Support Team Lead,4,7316,10.6,8,12.9,2.8,2,Hybrid,25.1,5,8.1,5.4,1.7,3,8.6,TRUE,7.8,Yes
1091,35,Female,Married,Masters,Customer Support,Support Team Lead,3,4834,13.4,11.4,14,1.4,1,Hybrid,6.3,9,3.4,8.1,7,3,7.3,TRUE,5.6,No
1092,42,Female,Divorced,Masters,Engineering,Engineering Manager,3,12827,12.8,6.1,16.1,3.6,3,Hybrid,6.8,6,4.8,6.1,5.8,4,7,TRUE,6.6,No
1093,39,Female,Single,Bachelors,Research & Development,R&D Manager,5,11271,13.6,9.5,16.2,1.2,3,Hybrid,2.4,4,2.5,8.3,7.6,4,10,FALSE,2.2,No
1094,37,Male,Single,Masters,Operations,Operations Analyst,2,5487,12.2,4.6,11.1,0,3,Remote,9.2,20,5.2,6,5.5,3,7.3,TRUE,5.4,No
1095,44,Male,Married,PhD,Finance,Accountant,3,7478,4,9.6,14.6,6.8,1,Onsite,2.8,6,3.6,7.1,6.4,3,7.5,TRUE,4.4,No
1096,45,Female,Divorced,Bachelors,Finance,Accountant,4,10479,14.1,7.4,20.8,1.6,4,Hybrid,1,4,2.6,7.2,7,4,8.5,TRUE,6.9,No
1097,42,Male,Married,Bachelors,Human Resources,HR Business Partner,3,9517,12.1,9,17.7,3.3,3,Remote,12.9,8,5.8,5.2,5.1,4,10,FALSE,5.4,No
1098,39,Male,Single,Bachelors,Customer Support,Customer Success Manager,2,3845,11.5,0,5,0,1,Onsite,8.4,7,5.2,6.2,5.5,3,7.3,FALSE,7.3,No
1099,43,Male,Single,Bachelors,Engineering,Software Engineer,3,8786,7.6,9.1,13.6,2.5,0,Onsite,10.6,3,3.4,7,5.9,4,7.8,TRUE,4.2,No
1100,40,Female,Single,Bachelors,Finance,Accountant,3,6843,8.3,7.2,16,1.9,2,Onsite,3.8,3,4.2,6.1,5.6,4,10,FALSE,6.5,No
1101,39,Female,Single,Masters,Customer Support,Customer Success Manager,4,6896,11.3,7.1,11.1,3.1,1,Onsite,8.8,8,4.2,5.2,6.1,3,8.3,FALSE,6.3,No
1102,34,Female,Married,Bachelors,Engineering,Engineering Manager,3,8610,5.9,5.5,11.9,2.4,1,Onsite,12.3,4,5.7,5.3,2.8,3,7.3,FALSE,3.4,Yes
1103,46,Male,Single,High School,Finance,Accountant,3,5311,11.5,7.9,12,3.5,2,Onsite,7.2,12,5.1,5.7,4.5,4,9.9,TRUE,4.6,No
1104,29,Female,Married,Bachelors,Sales,Account Executive,2,3939,5.5,6.1,9,1.8,1,Remote,12,23,4.7,6.2,2.6,4,8.9,FALSE,5.8,Yes
1105,33,Female,Married,Bachelors,Operations,Operations Analyst,2,3870,12,2.1,6.1,2.1,2,Onsite,2.5,23,5.1,5.1,5.2,3,7.8,FALSE,4.3,Yes
1106,38,Female,Married,High School,Engineering,Engineering Manager,3,7278,5,10.2,18,1.9,4,Hybrid,11.4,7,3.1,6.4,5.4,4,10,TRUE,3.2,No
1107,21,Male,Married,Bachelors,Finance,Financial Analyst,1,3319,16,0,1,0,4,Onsite,3,2,2.4,9.1,6.3,4,8,FALSE,1.5,No
1108,42,Male,Married,Bachelors,Customer Support,Support Specialist,5,7559,13.6,5.7,13.9,2.3,2,Hybrid,4.9,4,4.4,5.9,5.8,4,7.5,TRUE,6.5,Yes
1109,25,Male,Single,Bachelors,Finance,Accountant,2,6063,14,4,5,1.1,3,Hybrid,6.9,5,3,8.8,6.5,4,9.9,TRUE,5.5,No
1110,45,Male,Married,High School,Sales,Account Executive,5,8192,1.1,8.5,10.2,8.2,1,Hybrid,7.9,23,4.7,4.7,3.7,3,9.2,FALSE,5.2,No
1111,21,Male,Single,Masters,Finance,Financial Analyst,2,5479,13.2,0,1,0,2,Hybrid,1.6,3,2.5,8.7,7.1,4,7,FALSE,9.3,No
1112,43,Male,Married,Masters,Sales,Sales Manager,5,15173,12.2,12.3,17.4,3.3,0,Onsite,6.7,21,5.3,6.8,7.1,4,9.8,FALSE,3.3,No
1113,35,Male,Single,Bachelors,Operations,Program Manager,3,6494,4.7,3.2,7.7,1.4,1,Hybrid,10.3,25,5.9,4.4,3.7,4,8.2,TRUE,6,Yes
1114,31,Female,Married,Masters,Engineering,Data Engineer,3,9305,10.2,3.9,3.9,3.9,0,Hybrid,7.5,5,3.7,6,6.7,3,6,TRUE,1,No
1115,39,Female,Single,Masters,Engineering,QA Engineer,2,8979,9.6,9.7,14.4,4.6,0,Onsite,3.5,9,3.2,6.1,6.5,4,8.9,TRUE,2.6,No
1116,40,Female,Single,Bachelors,Engineering,Engineering Manager,5,11176,19.1,14.7,19.4,0,1,Onsite,4.8,7,4.3,8.9,6.4,4,6.3,FALSE,1,No
1117,43,Female,Married,Bachelors,Engineering,Data Engineer,3,7478,10.8,8.2,13.7,5.3,2,Hybrid,7,6,4.4,6,5.5,2,7,TRUE,4.7,Yes
1118,30,Female,Single,Masters,Human Resources,HR Business Partner,1,3953,6.6,5.8,10,2.7,2,Remote,4.6,7,2.4,6.1,8.2,3,5.8,FALSE,6,No
1119,43,Male,Single,Bachelors,Engineering,Engineering Manager,4,10662,12.4,7.1,8.4,5.1,0,Onsite,2.8,5,3.3,4.8,6.9,3,8.6,TRUE,2.1,Yes
1120,30,Female,Married,Bachelors,Marketing,Marketing Specialist,2,4192,10.1,0.5,7.1,0.5,2,Onsite,6.6,7,3.9,6.2,5.7,5,8.5,FALSE,7.8,No
1121,42,Male,Married,Bachelors,Finance,Accountant,4,9607,5.6,9.8,17.1,5.7,3,Hybrid,2.1,8,3.2,8.1,6.7,4,8.4,FALSE,4,No
1122,39,Female,Married,Masters,Customer Support,Customer Success Manager,5,10670,12.1,9.5,15.8,1.7,1,Hybrid,4.7,7,4.3,4.7,6.5,3,8.2,FALSE,5.7,No
1123,38,Female,Married,Bachelors,Sales,Sales Development Rep,4,8566,14.8,11.2,18,0.2,4,Onsite,3.3,17,5.7,6.2,6.3,4,9.8,FALSE,4.6,Yes
1124,34,Female,Married,Bachelors,Sales,Sales Manager,2,5469,11.3,6.3,12.4,0.1,1,Hybrid,9.3,19,4.2,4.8,5,3,7.9,FALSE,4.4,No
1125,43,Male,Single,Bachelors,Sales,Sales Manager,4,8986,12.1,7.2,14.3,3.3,1,Remote,8.2,25,3.9,7.4,6.7,3,8.3,FALSE,5.2,No
1126,24,Male,Divorced,Bachelors,Engineering,Data Engineer,1,4196,12.4,1.1,4,0.2,1,Onsite,1.9,3,4.7,8.7,4.5,4,8,FALSE,4.9,No
1127,41,Male,Married,PhD,Operations,Operations Analyst,4,9124,14.1,11.5,12.9,0.3,1,Hybrid,6.9,23,4.9,4.4,4.9,3,7.9,TRUE,3.5,No
1128,44,Female,Married,Bachelors,Customer Support,Support Specialist,5,8141,11.4,13.3,22.7,2.3,4,Onsite,8.1,3,5.4,5.1,5.2,3,7.3,FALSE,6.1,No
1129,41,Female,Single,Masters,Marketing,Marketing Specialist,4,6582,8.4,7.1,11.9,4.4,3,Remote,6.6,5,2.8,4.1,6.4,3,5.6,TRUE,5.3,No
1130,36,Female,Divorced,High School,Human Resources,Recruiter,3,6671,14.8,8.4,11.7,0.5,1,Onsite,5.5,7,5.9,6.4,8,3,8.2,TRUE,3.8,No
1131,24,Male,Married,Bachelors,Research & Development,Research Scientist,2,4909,8.9,3,4,3,0,Hybrid,2.2,9,3.1,9.3,5.9,3,8.9,TRUE,4.7,No
1132,50,Male,Married,PhD,Operations,Program Manager,5,11279,15.6,7.8,15.7,2.1,3,Onsite,3.5,19,2.9,7.5,7.2,4,7.1,FALSE,4,No
1133,42,Male,Married,Masters,Operations,Operations Manager,5,10354,11.7,3.1,4.4,1.7,1,Onsite,9.4,25,4.5,8,4.8,4,10,TRUE,3.4,No
1134,41,Male,Married,Masters,Customer Support,Customer Success Manager,3,6242,9.3,3.5,11.3,2.3,2,Hybrid,17.7,5,7.4,7,3.1,3,10,TRUE,6.9,No
1135,25,Male,Divorced,Bachelors,Engineering,QA Engineer,2,6165,7.9,4,5,4,1,Onsite,5.2,6,5.7,5.3,6.4,3,6.2,FALSE,3.9,No
1136,50,Female,Single,Masters,Finance,Finance Manager,4,7185,15.3,6.4,10.7,1.9,2,Hybrid,6.5,7,4,5.8,5,4,8.4,TRUE,4.7,Yes
1137,27,Female,Divorced,Bachelors,Operations,Operations Analyst,2,3892,13.1,1.7,6.5,1.7,1,Onsite,3.3,23,3.6,6.4,7.3,4,10,TRUE,5.1,No
1138,36,Male,Divorced,High School,Customer Support,Support Team Lead,3,4670,11.2,8.1,14.2,1.2,1,Remote,8.2,4,3,7.9,6.3,4,9.2,TRUE,8.1,No
1139,31,Male,Married,Bachelors,Sales,Sales Manager,2,6297,8.1,6.5,11,1.9,1,Remote,9.8,22,4.7,8.1,6.6,2,7.7,FALSE,5.8,No
1140,35,Female,Married,Masters,Operations,Operations Manager,5,9549,14.8,10.9,15,1.2,3,Onsite,7.2,20,4.3,8.3,6.3,4,9.2,TRUE,5.9,No
1141,53,Female,Single,Bachelors,Finance,Accountant,4,10569,17.2,9.8,15.7,1,1,Onsite,12.2,6,6.5,6.2,4.6,3,7.8,FALSE,1,No
1142,35,Male,Single,Bachelors,Sales,Account Executive,3,7016,9.5,6.8,8.4,1.2,0,Hybrid,15.3,19,6,4.2,5.2,4,8.3,TRUE,5.9,Yes
1143,52,Male,Single,PhD,Engineering,QA Engineer,3,12064,12.9,9.3,13.6,0.9,2,Hybrid,18,9,5.3,6.8,5.5,4,7.5,TRUE,2,No
1144,39,Female,Married,High School,Sales,Sales Development Rep,2,4599,12.9,3.7,4.6,1.7,1,Onsite,11.9,22,4.9,6.8,3.7,3,10,TRUE,4.2,No
1145,39,Male,Married,Bachelors,Research & Development,Product Researcher,2,6466,17.7,1.8,7.6,0.7,1,Onsite,11.8,4,5.6,6.6,4.8,3,7.9,TRUE,5.5,No
1146,21,Male,Married,Bachelors,Engineering,Data Engineer,1,4231,12.1,0,1,0,1,Hybrid,10.2,2,3.7,7,5.5,4,8.2,TRUE,4,No
1147,47,Male,Married,Masters,Engineering,Software Engineer,4,10244,8.4,4.7,11.1,4.7,1,Remote,2,5,2.5,7.2,6.8,4,8.6,TRUE,2.2,No
1148,26,Female,Married,Bachelors,Sales,Account Executive,3,7102,13.2,2.9,6,1.5,3,Onsite,12.5,18,2.1,8.7,6.1,4,6.1,TRUE,2.7,No
1149,39,Female,Single,Masters,Engineering,Software Engineer,3,6894,14,10.2,16.3,1.2,1,Onsite,7.7,6,2.3,7.2,5.6,4,8.8,TRUE,3.3,No
1150,30,Female,Single,Bachelors,Engineering,Software Engineer,2,6487,8.7,7,10,2.6,0,Onsite,0.9,11,3.6,5.5,7.5,3,7.2,TRUE,3.3,No
1151,44,Male,Single,Bachelors,Customer Support,Support Team Lead,5,6915,2.1,9.6,14.6,4.2,2,Hybrid,9.2,5,5.2,4.4,4.9,3,5.8,FALSE,5.7,No
1152,27,Male,Divorced,PhD,Sales,Account Executive,2,6933,13.2,4.4,7,1,1,Onsite,6.7,33,3.3,8,6,3,7.9,FALSE,4.9,No
1153,42,Male,Married,Masters,Finance,Finance Manager,4,9538,11.1,9.2,20.9,4.6,4,Hybrid,8.3,4,4.1,8.5,6.6,4,8.1,FALSE,5.7,No
1154,41,Male,Single,Bachelors,Engineering,Software Engineer,5,11873,16.1,9.8,11.9,2.3,1,Remote,5.2,9,2.1,7.4,8.2,4,6.3,FALSE,3.6,No
