price_recorded_date,platform,product_category,model_name,condition,launch_price_usd,launch_price_inr,current_price_usd,current_price_inr,discount_pct,sale_event,stock_status,rating,reviews_count,year,month
2020-10-23,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,433.4,42014.2,-1.0,No Sale Event,In Stock,4.7,186,2020,10
2020-10-23,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,599.55,58434.1,-0.1,No Sale Event,Out of Stock,4.6,83,2020,10
2020-10-23,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,794.53,78340.4,0.6,No Sale Event,In Stock,4.4,87,2020,10
2020-10-23,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,994.04,97853.9,0.5,No Sale Event,In Stock,4.2,73,2020,10
2020-10-24,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,421.78,40536.6,1.7,No Sale Event,In Stock,4.6,140,2020,10
2020-10-24,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,429.4,42578.1,-0.1,No Sale Event,Low Stock,4.3,168,2020,10
2020-10-24,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,424.81,42357.8,1.0,No Sale Event,Out of Stock,4.3,263,2020,10
2020-10-24,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,591.99,57562.4,1.2,No Sale Event,Out of Stock,4.4,95,2020,10
2020-10-24,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1002.99,98268.3,-0.4,No Sale Event,In Stock,4.3,27,2020,10
2020-10-24,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1018.59,101732.0,-2.0,No Sale Event,In Stock,4.7,69,2020,10
2020-10-24,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,1008.45,97646.4,-0.9,No Sale Event,Out of Stock,4.8,91,2020,10
2020-10-25,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,336.55,28181.7,21.6,No Sale Event,In Stock,4.2,199,2020,10
2020-10-25,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,808.24,78521.5,-1.2,No Sale Event,In Stock,4.2,41,2020,10
2020-10-25,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,806.28,77725.7,-0.9,No Sale Event,In Stock,4.9,31,2020,10
2020-10-25,Amazon,iPhone,iPhone 12 64GB,New,799,78302,799.67,79103.0,-0.1,No Sale Event,In Stock,4.7,54,2020,10
2020-10-26,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,433.26,41708.1,-1.0,No Sale Event,In Stock,4.9,181,2020,10
2020-10-26,Flipkart,iPad,iPad Air (4th Gen) 64GB,Renewed/Refurbished,599,58702,506.91,42461.7,15.4,No Sale Event,In Stock,4.0,26,2020,10
2020-10-26,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,595.03,59012.5,0.7,No Sale Event,In Stock,4.9,101,2020,10
2020-10-27,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,433.88,43071.0,-1.1,No Sale Event,In Stock,4.5,225,2020,10
2020-10-27,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,605.15,59466.8,-1.0,No Sale Event,In Stock,4.5,109,2020,10
2020-10-27,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,979.42,94354.3,2.0,No Sale Event,Out of Stock,4.3,72,2020,10
2020-10-27,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1010.02,97930.5,-1.1,No Sale Event,In Stock,4.5,98,2020,10
2020-10-28,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,426.23,41605.8,0.6,No Sale Event,In Stock,4.5,156,2020,10
2020-10-28,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,590.75,57350.7,1.4,No Sale Event,In Stock,4.6,110,2020,10
2020-10-28,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,587.31,57601.8,2.0,No Sale Event,In Stock,4.9,109,2020,10
2020-10-28,Amazon,iPhone,iPhone 12 64GB,New,799,78302,803.69,79005.3,-0.6,No Sale Event,In Stock,4.3,63,2020,10
2020-10-28,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,809.06,78509.8,-1.3,No Sale Event,In Stock,4.5,75,2020,10
2020-10-28,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,1009.63,97164.8,-1.1,No Sale Event,In Stock,4.4,85,2020,10
2020-10-29,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,431.07,42575.0,-0.5,No Sale Event,In Stock,4.2,244,2020,10
2020-10-29,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1015.49,99558.8,-1.7,No Sale Event,In Stock,4.7,39,2020,10
2020-10-29,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,981.21,95950.2,1.8,No Sale Event,Low Stock,4.3,40,2020,10
2020-10-30,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,594.31,58603.7,0.8,No Sale Event,In Stock,4.6,47,2020,10
2020-10-30,Flipkart,iPad,iPad Air (4th Gen) 64GB,Renewed/Refurbished,599,58702,422.34,35559.8,29.5,No Sale Event,Low Stock,4.2,85,2020,10
2020-10-30,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1014.52,99556.9,-1.6,No Sale Event,In Stock,4.7,82,2020,10
2020-10-30,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,993.58,99125.2,0.5,No Sale Event,In Stock,4.8,73,2020,10
2020-10-31,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,435.96,43342.2,-1.6,No Sale Event,In Stock,4.8,136,2020,10
2020-10-31,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,436.42,43069.6,-1.7,No Sale Event,Low Stock,4.8,253,2020,10
2020-10-31,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,990.98,95954.0,0.8,No Sale Event,Low Stock,4.7,92,2020,10
2020-11-01,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,434.66,41913.7,-1.3,No Sale Event,Low Stock,4.6,144,2020,11
2020-11-01,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,347.06,29583.2,19.1,No Sale Event,Low Stock,3.9,165,2020,11
2020-11-01,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,589.04,58512.7,1.7,No Sale Event,In Stock,4.6,124,2020,11
2020-11-01,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,609.61,60678.5,-1.8,No Sale Event,In Stock,4.3,134,2020,11
2020-11-01,Flipkart,iPad,iPad Air (4th Gen) 64GB,Renewed/Refurbished,599,58702,431.12,37356.8,28.0,No Sale Event,In Stock,3.9,129,2020,11
2020-11-01,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,597.29,59289.7,0.3,No Sale Event,Low Stock,4.8,71,2020,11
2020-11-01,Flipkart,iPad,iPad Air (4th Gen) 64GB,Renewed/Refurbished,599,58702,483.88,41749.4,19.2,No Sale Event,In Stock,4.3,73,2020,11
2020-11-01,Amazon,iPhone,iPhone 12 64GB,New,799,78302,786.11,77947.7,1.6,No Sale Event,In Stock,4.3,112,2020,11
2020-11-01,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,783.26,75362.3,2.0,No Sale Event,In Stock,4.5,42,2020,11
2020-11-01,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,785.33,78248.3,1.7,No Sale Event,In Stock,4.6,56,2020,11
2020-11-01,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,799.58,79692.4,-0.1,No Sale Event,In Stock,4.5,58,2020,11
2020-11-01,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,800.5,78332.1,-0.2,No Sale Event,In Stock,4.7,68,2020,11
2020-11-01,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1001.23,96756.8,-0.2,No Sale Event,Low Stock,4.7,80,2020,11
2020-11-02,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,437.17,42129.5,-1.9,No Sale Event,In Stock,4.6,216,2020,11
2020-11-02,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,598.7,58889.7,0.1,No Sale Event,In Stock,4.5,101,2020,11
2020-11-02,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,1011.87,100154.0,-1.3,No Sale Event,In Stock,4.3,139,2020,11
2020-11-03,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,432.19,42102.6,-0.7,No Sale Event,In Stock,4.4,202,2020,11
2020-11-03,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,421.23,41944.7,1.8,No Sale Event,In Stock,4.2,222,2020,11
2020-11-03,Amazon,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,297.95,24955.6,30.5,No Sale Event,Out of Stock,4.4,146,2020,11
2020-11-03,Amazon,iPhone,iPhone 12 64GB,New,799,78302,783.08,75610.7,2.0,No Sale Event,In Stock,4.7,133,2020,11
2020-11-03,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,991.92,98244.7,0.7,No Sale Event,In Stock,4.3,65,2020,11
2020-11-03,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,1008.06,98478.9,-0.9,No Sale Event,In Stock,4.8,72,2020,11
2020-11-03,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,994.67,95865.1,0.4,No Sale Event,In Stock,4.8,122,2020,11
2020-11-03,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,993.15,99174.3,0.6,No Sale Event,In Stock,4.7,56,2020,11
2020-11-04,Amazon,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,298.43,25302.3,30.4,No Sale Event,Low Stock,4.2,197,2020,11
2020-11-04,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,610.68,59320.5,-1.9,No Sale Event,In Stock,4.6,80,2020,11
2020-11-04,Amazon,iPhone,iPhone 12 64GB,Renewed/Refurbished,799,78302,654.7,56034.9,18.1,No Sale Event,Out of Stock,4.0,119,2020,11
2020-11-04,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,1003.99,98800.0,-0.5,No Sale Event,In Stock,4.9,82,2020,11
2020-11-05,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,422.75,41641.9,1.5,No Sale Event,In Stock,4.4,183,2020,11
2020-11-05,Amazon,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,328.85,28074.1,23.3,No Sale Event,Out of Stock,4.2,187,2020,11
2020-11-05,Amazon,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,354.7,29595.2,17.3,No Sale Event,In Stock,3.9,266,2020,11
2020-11-05,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,431.5,42305.8,-0.6,No Sale Event,Out of Stock,4.5,177,2020,11
2020-11-05,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1015.53,100361.0,-1.7,No Sale Event,In Stock,4.5,46,2020,11
2020-11-05,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,1016.29,100195.0,-1.7,No Sale Event,In Stock,4.7,74,2020,11
2020-11-05,Flipkart,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,97902,794.78,68082.8,20.4,No Sale Event,In Stock,4.1,105,2020,11
2020-11-05,Amazon,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,97902,820.82,70938.7,17.8,No Sale Event,In Stock,4.1,56,2020,11
2020-11-06,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,420.47,40956.0,2.0,No Sale Event,Out of Stock,4.8,199,2020,11
2020-11-06,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,420.47,41835.0,2.0,No Sale Event,In Stock,4.6,95,2020,11
2020-11-06,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,601.99,59050.7,-0.5,No Sale Event,In Stock,4.6,116,2020,11
2020-11-06,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,994.02,95737.7,0.5,No Sale Event,Low Stock,4.3,151,2020,11
2020-11-06,Amazon,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,97902,827.54,70811.5,17.2,No Sale Event,In Stock,3.9,128,2020,11
2020-11-06,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,981.6,95226.7,1.7,No Sale Event,In Stock,4.4,64,2020,11
2020-11-07,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,348.69,29713.1,18.7,No Sale Event,In Stock,4.1,238,2020,11
2020-11-07,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,606.04,59342.1,-1.2,No Sale Event,In Stock,4.7,98,2020,11
2020-11-07,Amazon,iPad,iPad Air (4th Gen) 64GB,Renewed/Refurbished,599,58702,499.28,42537.3,16.6,No Sale Event,In Stock,4.1,83,2020,11
2020-11-07,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,602.85,59122.8,-0.6,No Sale Event,Low Stock,4.2,102,2020,11
2020-11-07,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1010.4,98460.6,-1.1,No Sale Event,In Stock,4.3,104,2020,11
2020-11-07,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,999.18,99454.0,0.0,No Sale Event,In Stock,4.7,107,2020,11
2020-11-08,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,588.56,57948.9,1.7,No Sale Event,In Stock,4.9,120,2020,11
2020-11-08,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,609.51,59862.9,-1.8,No Sale Event,In Stock,4.6,171,2020,11
2020-11-08,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,599.35,58404.8,-0.1,No Sale Event,Out of Stock,4.2,101,2020,11
2020-11-08,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,798.89,77616.2,0.0,No Sale Event,In Stock,4.6,180,2020,11
2020-11-08,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,799.64,78643.4,-0.1,No Sale Event,In Stock,4.6,124,2020,11
2020-11-08,Amazon,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,97902,756.91,63942.3,24.2,No Sale Event,In Stock,4.4,104,2020,11
2020-11-09,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,333.26,27939.1,22.3,No Sale Event,Out of Stock,4.4,229,2020,11
2020-11-09,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,605.76,59256.4,-1.1,No Sale Event,In Stock,4.3,156,2020,11
2020-11-09,Amazon,iPhone,iPhone 12 64GB,New,799,78302,808.32,79869.0,-1.2,No Sale Event,Out of Stock,4.4,132,2020,11
2020-11-09,Flipkart,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,97902,839.34,72637.4,16.0,No Sale Event,In Stock,4.3,116,2020,11
2020-11-10,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,803.71,79321.4,-0.6,No Sale Event,Low Stock,4.8,136,2020,11
2020-11-10,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,787.76,78647.3,1.4,No Sale Event,Low Stock,4.8,148,2020,11
2020-11-10,Flipkart,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,97902,813.97,68223.5,18.5,No Sale Event,In Stock,4.3,160,2020,11
2020-11-11,Amazon,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,315.7,27157.9,26.4,No Sale Event,In Stock,4.4,262,2020,11
2020-11-11,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,598.46,59003.4,0.1,No Sale Event,In Stock,4.8,108,2020,11
2020-11-11,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,1012.93,100728.0,-1.4,No Sale Event,In Stock,4.8,108,2020,11
2020-11-12,Flipkart,Watch,Apple Watch Series 6 (44mm),New,429,42042,433.86,42206.5,-1.1,No Sale Event,Out of Stock,4.5,315,2020,11
2020-11-12,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,333.26,28075.5,22.3,No Sale Event,In Stock,4.3,129,2020,11
2020-11-12,Amazon,iPhone,iPhone 12 64GB,New,799,78302,810.96,80124.5,-1.5,No Sale Event,In Stock,4.2,58,2020,11
2020-11-12,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,793.57,78160.9,0.7,No Sale Event,In Stock,4.9,70,2020,11
2020-11-12,Amazon,iPhone,iPhone 12 64GB,New,799,78302,811.19,80298.7,-1.5,No Sale Event,Low Stock,4.8,110,2020,11
2020-11-12,Flipkart,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,97902,821.86,71060.6,17.7,No Sale Event,In Stock,4.1,57,2020,11
2020-11-12,Flipkart,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,97902,797.26,67059.4,20.2,No Sale Event,Low Stock,3.9,124,2020,11
2020-11-12,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1014.67,100108.0,-1.6,No Sale Event,In Stock,4.5,39,2020,11
2020-11-13,Amazon,iPhone,iPhone 12 64GB,Renewed/Refurbished,799,78302,577.22,48516.4,27.8,No Sale Event,In Stock,3.9,110,2020,11
2020-11-13,Amazon,iPhone,iPhone 12 64GB,New,799,78302,791.2,78779.9,1.0,No Sale Event,Low Stock,4.6,143,2020,11
2020-11-13,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,992.66,96616.3,0.6,No Sale Event,In Stock,4.6,106,2020,11
2020-11-13,Flipkart,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,97902,814.16,68733.6,18.5,No Sale Event,In Stock,4.4,76,2020,11
2020-11-13,Amazon,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,97902,724.54,62362.7,27.5,No Sale Event,In Stock,3.8,125,2020,11
2020-11-14,Amazon,iPhone,iPhone 12 64GB,New,799,78302,802.85,78948.6,-0.5,No Sale Event,Low Stock,4.6,201,2020,11
2020-11-14,Amazon,iPhone,iPhone 12 64GB,New,799,78302,786.79,76681.7,1.5,No Sale Event,In Stock,4.8,111,2020,11
2020-11-14,Amazon,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,97902,789.41,67998.4,21.0,No Sale Event,In Stock,3.9,102,2020,11
2020-11-15,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,318.8,26809.0,25.7,No Sale Event,In Stock,4.4,339,2020,11
2020-11-15,Flipkart,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,331.31,27820.4,22.8,No Sale Event,Low Stock,4.4,244,2020,11
2020-11-15,Amazon,Watch,Apple Watch Series 6 (44mm),Renewed/Refurbished,429,42042,364.58,30932.6,15.0,No Sale Event,Low Stock,4.3,219,2020,11
2020-11-15,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,423.44,42145.1,1.3,No Sale Event,In Stock,4.6,190,2020,11
2020-11-15,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,596.02,57332.6,0.5,No Sale Event,Out of Stock,4.3,99,2020,11
2020-11-15,Amazon,iPhone,iPhone 12 64GB,New,799,78302,806.98,79556.8,-1.0,No Sale Event,In Stock,4.6,200,2020,11
2020-11-15,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,784.79,77700.7,1.8,No Sale Event,Out of Stock,4.4,159,2020,11
2020-11-15,Flipkart,iPhone,iPhone 12 64GB,New,799,78302,789.1,76310.9,1.2,No Sale Event,In Stock,4.8,173,2020,11
2020-11-15,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,995.03,97672.9,0.4,No Sale Event,In Stock,4.7,89,2020,11
2020-11-15,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,987.23,97153.8,1.2,No Sale Event,In Stock,4.3,102,2020,11
2020-11-16,Amazon,Watch,Apple Watch Series 6 (44mm),New,429,42042,422.7,41032.5,1.5,No Sale Event,In Stock,4.4,223,2020,11
2020-11-16,Flipkart,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,97902,710.18,60071.2,28.9,No Sale Event,In Stock,4.0,116,2020,11
2020-11-17,Flipkart,Mac,MacBook Air M1 256GB,New,999,97902,1004.39,99738.2,-0.5,No Sale Event,In Stock,4.3,93,2020,11
2020-11-17,Flipkart,iPad,iPad Air (4th Gen) 64GB,New,599,58702,609.98,60915.6,-1.8,No Sale Event,In Stock,4.8,158,2020,11
2020-11-17,Amazon,iPhone,iPhone 12 64GB,Renewed/Refurbished,799,78302,600.55,51730.2,24.8,No Sale Event,Out of Stock,4.0,210,2020,11
2020-11-18,Flipkart,Mac,MacBook Air M1 256GB,Renewed/Refurbished,999,97902,702.73,58837.1,29.7,No Sale Event,Out of Stock,4.2,102,2020,11
2020-11-18,Amazon,Mac,MacBook Air M1 256GB,New,999,97902,988.62,96165.9,1.0,No Sale Event,In Stock,4.5,40,2020,11
2020-11-18,Amazon,iPhone,iPhone 12 64GB,New,799,78302,797.26,77446.6,0.2,No Sale Event,In Stock,4.4,130,2020,11
2020-11-18,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,982.78,95120.7,1.6,No Sale Event,In Stock,4.7,68,2020,11
2020-11-18,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,1007.26,99624.2,-0.8,No Sale Event,In Stock,4.4,89,2020,11
2020-11-18,Flipkart,iPhone,iPhone 12 Pro 128GB,New,999,97902,1008.54,97526.4,-1.0,No Sale Event,In Stock,4.6,163,2020,11
2020-11-18,Flipkart,iPhone,iPhone 12 Pro 128GB,Renewed/Refurbished,999,97902,805.29,67733.3,19.4,No Sale Event,In Stock,3.8,142,2020,11
2020-11-18,Amazon,iPhone,iPhone 12 Pro 128GB,New,999,97902,980.09,97595.4,1.9,No Sale Event,In Stock,4.6,115,2020,11
2020-11-19,Flipkart,iPad,iPad Air (4th Gen) 64GB,Renewed/Refurbished,599,58702,444.11,38011.5,25.9,No Sale Event,In Stock,4.0,50,2020,11
2020-11-19,Amazon,iPad,iPad Air (4th Gen) 64GB,New,599,58702,592.22,57755.4,1.1,No Sale Event,In Stock,4.3,152,2020,11
