Delivery_person_Age,Delivery_person_Ratings,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Preparation_Time_Min,order_month,orderd_hour
36.0,4.1,2022-03-05,1900-01-01 22:35:00,1900-01-01 22:40:00,Stormy,Low,Poor,Drinks,motorcycle,1.0,No,Urban,22,5.0,3,22
26.0,4.3,2022-02-11,1900-01-01 23:25:00,1900-01-01 23:35:00,Sandstorms,Low,Poor,Buffet,motorcycle,0.0,No,Urban,21,10.0,2,23
38.0,4.9,2022-02-11,1900-01-01 13:35:00,1900-01-01 13:40:00,Cloudy,High,Average,Drinks,scooter,1.0,No,Urban,25,5.0,2,13
32.0,3.5,2022-03-08,1900-01-01 21:35:00,1900-01-01 21:45:00,Stormy,Jam,Average,Snack,scooter,0.0,No,Urban,35,10.0,3,21
32.0,4.6,2022-04-02,1900-01-01 22:35:00,1900-01-01 22:45:00,Cloudy,Low,Good,Drinks,scooter,1.0,No,Metropolitian,30,10.0,4,22
33.0,4.9,2022-03-08,1900-01-01 18:55:00,1900-01-01 19:10:00,Sunny,Medium,Average,Snack,motorcycle,1.0,No,Metropolitian,22,15.0,3,18
20.0,4.7,2022-04-03,1900-01-01 14:15:00,1900-01-01 14:25:00,Windy,High,Average,Snack,scooter,0.0,No,Urban,10,10.0,4,14
20.0,4.8,2022-03-30,1900-01-01 11:00:00,1900-01-01 11:10:00,Sandstorms,Low,Good,Meal,scooter,1.0,No,Metropolitian,19,10.0,3,11
35.0,5.0,2022-04-01,1900-01-01 09:45:00,1900-01-01 09:55:00,Sunny,Low,Good,Snack,scooter,1.0,No,Urban,11,10.0,4,9
26.0,4.9,2022-03-28,1900-01-01 08:40:00,1900-01-01 08:55:00,Stormy,Low,Good,Buffet,scooter,0.0,No,Metropolitian,11,15.0,3,8
22.0,4.8,2022-03-18,1900-01-01 23:00:00,1900-01-01 23:10:00,Fog,Low,Average,Snack,motorcycle,1.0,No,Metropolitian,28,10.0,3,23
35.0,4.3,2022-03-14,1900-01-01 17:25:00,1900-01-01 17:30:00,Cloudy,Medium,Average,Snack,motorcycle,1.0,No,Metropolitian,33,5.0,3,17
37.0,4.7,2022-04-04,1900-01-01 19:45:00,1900-01-01 19:50:00,Sandstorms,Jam,Poor,Snack,motorcycle,3.0,No,Metropolitian,52,5.0,4,19
28.0,4.6,2022-03-08,1900-01-01 19:10:00,1900-01-01 19:25:00,Stormy,Jam,Average,Snack,scooter,1.0,No,Metropolitian,22,15.0,3,19
37.0,4.9,2022-02-13,1900-01-01 10:55:00,1900-01-01 11:00:00,Fog,Low,Average,Snack,scooter,1.0,No,Urban,16,5.0,2,10
23.0,4.9,2022-03-24,1900-01-01 21:40:00,1900-01-01 21:45:00,Sunny,Jam,Good,Drinks,electric_scooter,0.0,No,Metropolitian,11,5.0,3,21
27.0,4.9,2022-03-19,1900-01-01 19:00:00,1900-01-01 19:15:00,Windy,Medium,Average,Drinks,scooter,1.0,No,Metropolitian,25,15.0,3,19
37.0,4.8,2022-03-09,1900-01-01 16:45:00,1900-01-01 16:55:00,Cloudy,Medium,Poor,Drinks,motorcycle,1.0,No,Urban,26,10.0,3,16
33.0,5.0,2022-03-19,1900-01-01 11:30:00,1900-01-01 11:40:00,Sunny,High,Good,Snack,scooter,1.0,No,Metropolitian,18,10.0,3,11
31.0,4.9,2022-04-03,1900-01-01 15:10:00,1900-01-01 15:15:00,Fog,Medium,Average,Snack,motorcycle,1.0,No,Metropolitian,16,5.0,4,15
31.0,4.8,2022-03-25,1900-01-01 22:45:00,1900-01-01 22:55:00,Stormy,Low,Good,Drinks,scooter,1.0,No,Metropolitian,23,10.0,3,22
25.0,5.0,2022-02-13,1900-01-01 22:10:00,1900-01-01 22:25:00,Cloudy,Low,Poor,Snack,motorcycle,0.0,No,Metropolitian,15,15.0,2,22
28.0,4.8,2022-04-04,1900-01-01 20:45:00,1900-01-01 20:55:00,Sandstorms,Jam,Poor,Drinks,motorcycle,1.0,No,Metropolitian,36,10.0,4,20
31.0,4.7,2022-03-26,1900-01-01 22:50:00,1900-01-01 23:05:00,Cloudy,Low,Good,Snack,motorcycle,0.0,No,Metropolitian,16,15.0,3,22
24.0,4.7,2022-03-10,1900-01-01 17:55:00,1900-01-01 18:00:00,Sunny,Medium,Poor,Buffet,motorcycle,0.0,No,Urban,19,5.0,3,17
39.0,4.6,2022-02-14,1900-01-01 22:45:00,1900-01-01 23:00:00,Sunny,Low,Average,Snack,motorcycle,1.0,No,Metropolitian,27,15.0,2,22
39.0,4.2,2022-03-02,1900-01-01 20:35:00,1900-01-01 20:50:00,Fog,Jam,Good,Snack,scooter,1.0,No,Semi-Urban,49,15.0,3,20
32.0,4.5,2022-03-26,1900-01-01 09:25:00,1900-01-01 09:40:00,Windy,Low,Good,Buffet,scooter,0.0,No,Metropolitian,20,15.0,3,9
36.0,4.7,2022-03-13,1900-01-01 20:15:00,1900-01-01 20:20:00,Cloudy,Jam,Average,Snack,motorcycle,1.0,No,Metropolitian,30,5.0,3,20
25.0,4.8,2022-03-29,1900-01-01 22:25:00,1900-01-01 22:35:00,Sandstorms,Low,Average,Drinks,scooter,0.0,No,Urban,18,10.0,3,22
33.0,4.9,2022-03-30,1900-01-01 21:55:00,1900-01-01 22:00:00,Sunny,Jam,Good,Drinks,scooter,0.0,No,Metropolitian,22,5.0,3,21
30.0,4.4,2022-03-12,1900-01-01 22:40:00,1900-01-01 22:55:00,Cloudy,Low,Good,Drinks,scooter,1.0,No,Metropolitian,34,15.0,3,22
33.0,5.0,2022-03-31,1900-01-01 23:50:00,1900-01-01 23:55:00,Sandstorms,Low,Poor,Buffet,motorcycle,0.0,No,Urban,24,5.0,3,23
36.0,4.9,2022-03-17,1900-01-01 15:25:00,1900-01-01 15:40:00,Fog,Medium,Good,Drinks,scooter,1.0,No,Metropolitian,17,15.0,3,15
21.0,4.8,2022-02-15,1900-01-01 10:20:00,1900-01-01 10:30:00,Sandstorms,Low,Good,Meal,electric_scooter,0.0,No,Metropolitian,14,10.0,2,10
39.0,4.9,2022-02-15,1900-01-01 20:55:00,1900-01-01 21:00:00,Stormy,Jam,Good,Meal,motorcycle,1.0,No,Metropolitian,30,5.0,2,20
23.0,4.8,2022-03-07,1900-01-01 10:40:00,1900-01-01 10:50:00,Stormy,Low,Average,Meal,scooter,1.0,No,Metropolitian,15,10.0,3,10
35.0,4.8,2022-03-28,1900-01-01 15:55:00,1900-01-01 16:05:00,Fog,Medium,Good,Buffet,scooter,1.0,No,Urban,16,10.0,3,15
39.0,4.6,2022-03-16,1900-01-01 20:10:00,1900-01-01 20:15:00,Cloudy,Jam,Average,Snack,scooter,1.0,No,Metropolitian,36,5.0,3,20
22.0,4.7,2022-03-17,1900-01-01 12:10:00,1900-01-01 12:15:00,Sunny,High,Average,Buffet,scooter,1.0,No,Urban,18,5.0,3,12
32.0,4.6,2022-03-15,1900-01-01 15:30:00,1900-01-01 15:45:00,Fog,Medium,Average,Meal,scooter,0.0,No,Metropolitian,17,15.0,3,15
24.0,4.8,2022-03-25,1900-01-01 22:10:00,1900-01-01 22:15:00,Sandstorms,Low,Average,Buffet,motorcycle,1.0,No,Urban,15,5.0,3,22
29.0,4.7,2022-03-09,1900-01-01 10:35:00,1900-01-01 10:45:00,Fog,Low,Poor,Buffet,motorcycle,1.0,No,Metropolitian,17,10.0,3,10
20.0,4.5,2022-02-11,1900-01-01 21:10:00,1900-01-01 21:25:00,Fog,Jam,Average,Drinks,motorcycle,1.0,No,Metropolitian,27,15.0,2,21
35.0,4.1,2022-03-12,1900-01-01 20:25:00,1900-01-01 20:40:00,Sandstorms,Jam,Average,Buffet,motorcycle,2.0,No,Metropolitian,37,15.0,3,20
39.0,4.6,2022-03-29,1900-01-01 20:50:00,1900-01-01 21:00:00,Fog,Jam,Average,Drinks,scooter,2.0,No,Metropolitian,44,10.0,3,20
34.0,4.7,2022-03-19,1900-01-01 12:35:00,1900-01-01 12:45:00,Windy,High,Good,Drinks,electric_scooter,1.0,No,Metropolitian,28,10.0,3,12
27.0,4.7,2022-03-10,1900-01-01 21:00:00,1900-01-01 21:15:00,Cloudy,Jam,Good,Snack,scooter,1.0,No,Metropolitian,42,15.0,3,21
30.0,4.8,2022-02-16,1900-01-01 23:40:00,1900-01-01 23:55:00,Windy,Low,Average,Snack,motorcycle,1.0,No,Metropolitian,25,15.0,2,23
25.0,4.4,2022-03-27,1900-01-01 18:15:00,1900-01-01 18:20:00,Cloudy,Medium,Good,Snack,scooter,1.0,No,Metropolitian,39,5.0,3,18
25.0,4.7,2022-03-27,1900-01-01 18:20:00,1900-01-01 18:25:00,Stormy,Medium,Poor,Meal,motorcycle,0.0,No,Urban,20,5.0,3,18
30.0,5.0,2022-03-24,1900-01-01 11:45:00,1900-01-01 11:50:00,Stormy,High,Average,Buffet,motorcycle,1.0,No,Metropolitian,31,5.0,3,11
24.0,4.6,2022-03-09,1900-01-01 20:45:00,1900-01-01 20:55:00,Stormy,Jam,Average,Buffet,motorcycle,0.0,No,Metropolitian,13,10.0,3,20
39.0,4.8,2022-03-03,1900-01-01 21:55:00,1900-01-01 22:10:00,Stormy,Jam,Average,Meal,motorcycle,1.0,No,Metropolitian,28,15.0,3,21
25.0,4.8,2022-02-15,1900-01-01 12:45:00,1900-01-01 12:50:00,Windy,High,Average,Snack,scooter,1.0,No,Urban,19,5.0,2,12
37.0,4.6,2022-02-18,1900-01-01 23:30:00,1900-01-01 23:45:00,Fog,Low,Poor,Buffet,motorcycle,2.0,Yes,Urban,42,15.0,2,23
24.0,5.0,2022-03-01,1900-01-01 10:50:00,1900-01-01 10:55:00,Fog,Low,Poor,Drinks,motorcycle,1.0,No,Metropolitian,23,5.0,3,10
25.0,4.2,2022-03-23,1900-01-01 21:25:00,1900-01-01 21:40:00,Stormy,Jam,Poor,Meal,motorcycle,1.0,No,Metropolitian,39,15.0,3,21
32.0,4.6,2022-04-01,1900-01-01 10:10:00,1900-01-01 10:20:00,Stormy,Low,Good,Drinks,motorcycle,1.0,No,Metropolitian,25,10.0,4,10
34.0,4.7,2022-02-16,1900-01-01 23:00:00,1900-01-01 23:05:00,Sandstorms,Low,Average,Drinks,scooter,0.0,No,Metropolitian,15,5.0,2,23
38.0,4.9,2022-03-11,1900-01-01 08:40:00,1900-01-01 08:55:00,Cloudy,Low,Good,Drinks,scooter,1.0,No,Urban,15,15.0,3,8
36.0,4.8,2022-03-14,1900-01-01 17:50:00,1900-01-01 17:55:00,Sunny,Medium,Good,Buffet,electric_scooter,0.0,No,Metropolitian,15,5.0,3,17
25.0,5.0,2022-03-18,1900-01-01 20:25:00,1900-01-01 20:40:00,Stormy,Jam,Average,Meal,motorcycle,1.0,No,Metropolitian,15,15.0,3,20
29.0,5.0,2022-04-01,1900-01-01 22:20:00,1900-01-01 22:25:00,Sunny,Low,Poor,Drinks,motorcycle,0.0,No,Metropolitian,18,5.0,4,22
36.0,4.7,2022-04-04,1900-01-01 23:40:00,1900-01-01 23:50:00,Sandstorms,Low,Good,Drinks,electric_scooter,0.0,No,Metropolitian,29,10.0,4,23
33.0,4.7,2022-03-11,1900-01-01 23:25:00,1900-01-01 23:30:00,Fog,Low,Poor,Snack,motorcycle,0.0,No,Metropolitian,20,5.0,3,23
36.0,4.4,2022-03-13,1900-01-01 12:40:00,1900-01-01 12:55:00,Cloudy,High,Good,Meal,scooter,1.0,No,Metropolitian,39,15.0,3,12
21.0,4.8,2022-03-04,1900-01-01 23:30:00,1900-01-01 23:45:00,Windy,Low,Poor,Snack,motorcycle,0.0,No,Metropolitian,19,15.0,3,23
23.0,4.8,2022-03-16,1900-01-01 22:50:00,1900-01-01 23:00:00,Windy,Low,Poor,Meal,motorcycle,0.0,No,Metropolitian,17,10.0,3,22
25.0,4.6,2022-03-01,1900-01-01 10:25:00,1900-01-01 10:40:00,Stormy,Low,Good,Snack,motorcycle,1.0,No,Urban,15,15.0,3,10
24.0,4.3,2022-03-15,1900-01-01 08:45:00,1900-01-01 09:00:00,Sandstorms,Low,Poor,Meal,motorcycle,0.0,No,Urban,19,15.0,3,8
27.0,4.6,2022-03-04,1900-01-01 21:25:00,1900-01-01 21:40:00,Sandstorms,Jam,Poor,Buffet,motorcycle,1.0,No,Metropolitian,29,15.0,3,21
23.0,4.8,2022-03-18,1900-01-01 22:35:00,1900-01-01 22:40:00,Cloudy,Low,Good,Snack,scooter,1.0,No,Urban,22,5.0,3,22
21.0,4.3,2022-03-23,1900-01-01 20:10:00,1900-01-01 20:20:00,Fog,Jam,Average,Drinks,scooter,0.0,No,Metropolitian,42,10.0,3,20
27.0,4.7,2022-03-15,1900-01-01 10:55:00,1900-01-01 11:10:00,Sandstorms,Low,Good,Snack,scooter,0.0,No,Urban,12,15.0,3,10
32.0,4.2,2022-03-08,1900-01-01 20:35:00,1900-01-01 20:45:00,Cloudy,Jam,Average,Snack,motorcycle,1.0,No,Metropolitian,38,10.0,3,20
25.0,4.6,2022-03-10,1900-01-01 23:20:00,1900-01-01 23:35:00,Sunny,Low,Poor,Drinks,motorcycle,1.0,No,Metropolitian,23,15.0,3,23
39.0,4.7,2022-02-11,1900-01-01 10:35:00,1900-01-01 10:50:00,Cloudy,Low,Average,Meal,scooter,0.0,No,Metropolitian,15,15.0,2,10
27.0,4.6,2022-03-14,1900-01-01 23:45:00,1900-01-01 23:50:00,Sunny,Low,Poor,Snack,motorcycle,1.0,No,Metropolitian,24,5.0,3,23
39.0,3.8,2022-03-16,1900-01-01 19:55:00,1900-01-01 20:00:00,Windy,Jam,Average,Drinks,motorcycle,0.0,No,Metropolitian,37,5.0,3,19
31.0,4.8,2022-03-01,1900-01-01 22:15:00,1900-01-01 22:25:00,Sandstorms,Low,Average,Snack,scooter,0.0,No,Metropolitian,24,10.0,3,22
31.0,4.8,2022-03-01,1900-01-01 23:10:00,1900-01-01 23:15:00,Sunny,Low,Good,Buffet,electric_scooter,0.0,No,Metropolitian,13,5.0,3,23
20.0,4.8,2022-03-30,1900-01-01 09:15:00,1900-01-01 09:30:00,Cloudy,Low,Poor,Drinks,motorcycle,0.0,No,Metropolitian,16,15.0,3,9
36.0,4.9,2022-03-02,1900-01-01 18:25:00,1900-01-01 18:35:00,Cloudy,Medium,Poor,Drinks,motorcycle,1.0,No,Urban,42,10.0,3,18
20.0,4.9,2022-03-20,1900-01-01 22:10:00,1900-01-01 22:20:00,Sandstorms,Low,Poor,Meal,motorcycle,1.0,No,Metropolitian,17,10.0,3,22
24.0,4.6,2022-04-03,1900-01-01 20:50:00,1900-01-01 21:05:00,Cloudy,Jam,Poor,Drinks,motorcycle,0.0,No,Metropolitian,25,15.0,4,20
39.0,4.2,2022-03-29,1900-01-01 18:45:00,1900-01-01 18:50:00,Fog,Medium,Average,Snack,scooter,0.0,No,Metropolitian,39,5.0,3,18
37.0,4.8,2022-03-17,1900-01-01 14:55:00,1900-01-01 15:05:00,Sunny,High,Good,Meal,scooter,0.0,No,Metropolitian,18,10.0,3,14
32.0,4.9,2022-03-17,1900-01-01 16:50:00,1900-01-01 17:00:00,Sandstorms,Medium,Good,Drinks,motorcycle,1.0,No,Metropolitian,28,10.0,3,16
22.0,4.5,2022-02-15,1900-01-01 22:20:00,1900-01-01 22:35:00,Sandstorms,Low,Average,Drinks,scooter,1.0,No,Metropolitian,18,15.0,2,22
33.0,4.7,2022-03-08,1900-01-01 21:10:00,1900-01-01 21:20:00,Fog,Jam,Average,Snack,scooter,1.0,No,Metropolitian,49,10.0,3,21
23.0,4.7,2022-02-17,1900-01-01 23:25:00,1900-01-01 23:35:00,Sunny,Low,Poor,Drinks,motorcycle,0.0,No,Metropolitian,15,10.0,2,23
27.0,4.6,2022-03-31,1900-01-01 23:30:00,1900-01-01 23:35:00,Sunny,Low,Poor,Drinks,motorcycle,1.0,No,Metropolitian,21,5.0,3,23
34.0,4.7,2022-03-01,1900-01-01 14:20:00,1900-01-01 14:35:00,Sunny,High,Good,Snack,scooter,0.0,No,Metropolitian,23,15.0,3,14
26.0,5.0,2022-04-03,1900-01-01 10:15:00,1900-01-01 10:25:00,Fog,Low,Good,Meal,scooter,1.0,No,Urban,11,10.0,4,10
31.0,4.6,2022-03-24,1900-01-01 21:20:00,1900-01-01 21:35:00,Cloudy,Jam,Poor,Snack,motorcycle,0.0,No,Metropolitian,25,15.0,3,21
32.0,4.9,2022-03-07,1900-01-01 08:50:00,1900-01-01 08:55:00,Fog,Low,Good,Snack,motorcycle,0.0,No,Metropolitian,18,5.0,3,8
27.0,4.7,2022-03-09,1900-01-01 09:00:00,1900-01-01 09:05:00,Cloudy,Low,Average,Buffet,motorcycle,0.0,No,Metropolitian,14,5.0,3,9
21.0,4.9,2022-03-12,1900-01-01 17:45:00,1900-01-01 18:00:00,Windy,Medium,Poor,Drinks,motorcycle,2.0,No,Metropolitian,36,15.0,3,17
28.0,4.8,2022-03-24,1900-01-01 23:10:00,1900-01-01 23:15:00,Fog,Low,Average,Drinks,motorcycle,1.0,No,Metropolitian,18,5.0,3,23
24.0,4.9,2022-03-30,1900-01-01 16:35:00,1900-01-01 16:50:00,Fog,Medium,Average,Meal,scooter,1.0,No,Urban,17,15.0,3,16
33.0,4.4,2022-03-05,1900-01-01 08:30:00,1900-01-01 08:40:00,Sandstorms,Low,Poor,Snack,motorcycle,1.0,No,Metropolitian,28,10.0,3,8
20.0,4.6,2022-03-18,1900-01-01 20:35:00,1900-01-01 20:50:00,Fog,Jam,Poor,Buffet,motorcycle,0.0,Yes,Metropolitian,44,15.0,3,20
31.0,4.3,2022-03-13,1900-01-01 23:25:00,1900-01-01 23:40:00,Windy,Low,Poor,Snack,motorcycle,1.0,No,Metropolitian,20,15.0,3,23
36.0,5.0,2022-03-31,1900-01-01 19:55:00,1900-01-01 20:05:00,Fog,Jam,Average,Snack,motorcycle,1.0,No,Metropolitian,35,10.0,3,19
31.0,4.2,2022-03-23,1900-01-01 21:20:00,1900-01-01 21:30:00,Sandstorms,Jam,Poor,Meal,motorcycle,1.0,No,Metropolitian,50,10.0,3,21
39.0,4.1,2022-03-24,1900-01-01 21:45:00,1900-01-01 21:50:00,Stormy,Jam,Average,Meal,scooter,1.0,No,Metropolitian,34,5.0,3,21
29.0,4.6,2022-03-12,1900-01-01 19:40:00,1900-01-01 19:55:00,Sunny,Jam,Good,Meal,electric_scooter,1.0,No,Metropolitian,17,15.0,3,19
29.0,4.6,2022-03-03,1900-01-01 14:50:00,1900-01-01 15:00:00,Sandstorms,High,Average,Snack,scooter,0.0,No,Urban,23,10.0,3,14
37.0,4.9,2022-03-09,1900-01-01 18:10:00,1900-01-01 18:20:00,Fog,Medium,Poor,Buffet,motorcycle,1.0,No,Metropolitian,27,10.0,3,18
33.0,4.7,2022-03-17,1900-01-01 12:20:00,1900-01-01 12:30:00,Cloudy,High,Poor,Snack,motorcycle,0.0,No,Urban,26,10.0,3,12
31.0,3.9,2022-03-18,1900-01-01 23:40:00,1900-01-01 23:50:00,Cloudy,Low,Average,Buffet,scooter,1.0,No,Metropolitian,35,10.0,3,23
37.0,4.6,2022-03-19,1900-01-01 12:50:00,1900-01-01 12:55:00,Windy,High,Poor,Drinks,motorcycle,1.0,No,Urban,41,5.0,3,12
26.0,4.4,2022-03-07,1900-01-01 23:20:00,1900-01-01 23:30:00,Sandstorms,Low,Poor,Buffet,motorcycle,0.0,No,Metropolitian,23,10.0,3,23
24.0,4.6,2022-03-04,1900-01-01 17:50:00,1900-01-01 18:00:00,Stormy,Medium,Poor,Snack,motorcycle,0.0,No,Metropolitian,30,10.0,3,17
23.0,4.8,2022-04-03,1900-01-01 10:25:00,1900-01-01 10:35:00,Windy,Low,Average,Buffet,scooter,1.0,No,Metropolitian,19,10.0,4,10
36.0,4.9,2022-03-11,1900-01-01 09:10:00,1900-01-01 09:25:00,Windy,Low,Average,Buffet,scooter,1.0,No,Metropolitian,27,15.0,3,9
39.0,4.8,2022-04-01,1900-01-01 12:30:00,1900-01-01 12:45:00,Cloudy,High,Poor,Snack,motorcycle,1.0,No,Metropolitian,28,15.0,4,12
20.0,4.7,2022-03-20,1900-01-01 17:10:00,1900-01-01 17:20:00,Sandstorms,Medium,Poor,Drinks,motorcycle,1.0,No,Metropolitian,24,10.0,3,17
20.0,5.0,2022-03-31,1900-01-01 19:15:00,1900-01-01 19:30:00,Cloudy,Jam,Poor,Meal,motorcycle,1.0,No,Urban,36,15.0,3,19
29.0,4.3,2022-02-13,1900-01-01 23:50:00,1900-01-01 23:55:00,Sandstorms,Low,Poor,Buffet,motorcycle,0.0,No,Metropolitian,28,5.0,2,23
36.0,4.8,2022-03-29,1900-01-01 18:45:00,1900-01-01 18:50:00,Fog,Medium,Good,Drinks,motorcycle,1.0,No,Urban,31,5.0,3,18
36.0,4.0,2022-03-16,1900-01-01 20:40:00,1900-01-01 20:45:00,Sunny,Jam,Poor,Meal,motorcycle,3.0,No,Metropolitian,44,5.0,3,20
22.0,4.8,2022-03-14,1900-01-01 22:10:00,1900-01-01 22:25:00,Windy,Low,Average,Drinks,scooter,1.0,No,Metropolitian,15,15.0,3,22
38.0,4.4,2022-03-31,1900-01-01 17:20:00,1900-01-01 17:25:00,Windy,Medium,Poor,Buffet,motorcycle,1.0,No,Metropolitian,33,5.0,3,17
39.0,4.9,2022-03-17,1900-01-01 19:55:00,1900-01-01 20:10:00,Fog,Jam,Poor,Buffet,motorcycle,0.0,No,Metropolitian,30,15.0,3,19
24.0,4.9,2022-03-28,1900-01-01 18:15:00,1900-01-01 18:25:00,Stormy,Medium,Average,Snack,scooter,1.0,No,Metropolitian,22,10.0,3,18
30.0,4.1,2022-04-04,1900-01-01 23:50:00,1900-01-02 00:00:00,Fog,Low,Poor,Snack,motorcycle,0.0,No,Metropolitian,43,10.0,4,23
35.0,4.8,2022-03-04,1900-01-01 17:25:00,1900-01-01 17:35:00,Fog,Medium,Poor,Meal,motorcycle,3.0,No,Metropolitian,48,10.0,3,17
33.0,4.5,2022-03-04,1900-01-01 23:45:00,1900-01-02 00:00:00,Stormy,Low,Good,Drinks,electric_scooter,1.0,No,Metropolitian,19,15.0,3,23
39.0,4.7,2022-02-14,1900-01-01 18:30:00,1900-01-01 18:35:00,Windy,Medium,Average,Snack,motorcycle,1.0,No,Urban,21,5.0,2,18
31.0,4.3,2022-03-25,1900-01-01 21:35:00,1900-01-01 21:45:00,Windy,Jam,Average,Drinks,motorcycle,0.0,No,Metropolitian,44,10.0,3,21
37.0,4.5,2022-03-17,1900-01-01 08:40:00,1900-01-01 08:55:00,Windy,Low,Good,Drinks,scooter,0.0,No,Metropolitian,26,15.0,3,8
37.0,4.7,2022-04-01,1900-01-01 22:35:00,1900-01-01 22:40:00,Windy,Low,Average,Buffet,scooter,1.0,No,Metropolitian,26,5.0,4,22
33.0,5.0,2022-03-19,1900-01-01 11:45:00,1900-01-01 11:50:00,Windy,High,Average,Meal,motorcycle,1.0,No,Metropolitian,31,5.0,3,11
24.0,4.6,2022-03-07,1900-01-01 23:25:00,1900-01-01 23:40:00,Stormy,Low,Good,Meal,scooter,1.0,No,Urban,19,15.0,3,23
33.0,4.5,2022-03-02,1900-01-01 19:10:00,1900-01-01 19:15:00,Sunny,Jam,Average,Snack,scooter,0.0,No,Metropolitian,18,5.0,3,19
39.0,4.7,2022-02-16,1900-01-01 18:45:00,1900-01-01 19:00:00,Fog,Medium,Good,Meal,motorcycle,1.0,No,Metropolitian,38,15.0,2,18
37.0,4.6,2022-03-29,1900-01-01 18:15:00,1900-01-01 18:25:00,Cloudy,Medium,Average,Snack,motorcycle,1.0,No,Metropolitian,32,10.0,3,18
25.0,4.9,2022-03-07,1900-01-01 22:30:00,1900-01-01 22:35:00,Sandstorms,Low,Good,Meal,scooter,1.0,No,Metropolitian,17,5.0,3,22
