order_id,order_date,order_month,order_quarter,order_year,customer_id,gender,age,city,state,membership_tier,product_id,product_name,category,sub_category,brand,color,size,mrp,discount_percent,selling_price,quantity,total_amount,payment_mode,order_channel,order_status,delivery_days,rating
MYN100022,2023-10-10,October,Q4,2023,CUST00168,Male,41,Ahmedabad,Gujarat,Insider,P50084,HRX Embroidered Belt,Men,Accessories,HRX,Black,L,2319.0,0,2319.0,1,2319.0,Cash on Delivery,Mobile App,Cancelled,7,4.0
MYN100023,2025-08-27,August,Q3,2025,CUST02297,Male,16,Coimbatore,Tamil Nadu,Insider,P35785,US Polo Assn Relaxed Fit Shirt,Men,Topwear,US Polo Assn,Grey,XL,5539.0,20,4431.2,1,4431.2,UPI,Mobile App,Delivered,7,4.0
MYN100024,2024-02-13,February,Q1,2024,CUST00402,Female,50,Surat,Gujarat,Non-Member,P83912,Story@Home Printed Storage Container Set,Home & Living,Kitchen,Story@Home,Grey,XXL,3989.0,60,1595.6,1,1595.6,UPI,Mobile App,Delivered,6,5.0
MYN100025,2025-01-02,January,Q1,2025,CUST02322,Female,52,Lucknow,Uttar Pradesh,Insider Gold,P67264,Woodland Formal Oxford Shoes,Footwear,Formal Shoes,Woodland,White,7,3309.0,30,2316.3,1,2316.3,Credit Card,Mobile Web,Delivered,9,4.0
MYN100026,2023-09-18,September,Q3,2023,CUST02290,Female,33,Hyderabad,Telangana,Non-Member,P28426,H&M Oversized Belt,Men,Accessories,H&M,Maroon,M,4789.0,60,1915.6,1,1915.6,UPI,Mobile App,Returned,6,4.0
MYN100027,2024-08-18,August,Q3,2024,CUST00025,Male,23,Chennai,Tamil Nadu,Non-Member,P45412,Roadster Slim Fit Earrings,Women,Jewellery,Roadster,Multicolor,XXL,919.0,60,367.6,1,367.6,Net Banking,Mobile App,Returned,9,4.0
MYN100028,2023-11-13,November,Q4,2023,CUST02395,Female,51,Chandigarh,Chandigarh,Non-Member,P77667,HRX Kids Solid Boxers Pack,Kids,Innerwear,HRX Kids,Blue,XL,4529.0,40,2717.4,1,2717.4,Debit Card,Mobile Web,Delivered,6,3.0
MYN100029,2023-02-20,February,Q1,2023,CUST02555,Female,51,Bhopal,Madhya Pradesh,Insider,P89140,HRX Kids Printed T-Shirt,Kids,Topwear,HRX Kids,White,XL,859.0,20,687.2,1,687.2,Credit Card,Mobile App,Returned,9,4.0
MYN100030,2023-02-14,February,Q1,2023,CUST01982,Male,31,Coimbatore,Tamil Nadu,Non-Member,P99302,Woodland Checked Training Shoes,Footwear,Sports Shoes,Woodland,Beige,11,3829.0,30,2680.3,1,2680.3,UPI,Mobile App,Cancelled,4,4.0
MYN100031,2024-07-17,July,Q3,2024,CUST02096,Female,41,Bhopal,Madhya Pradesh,Non-Member,P48015,Maybelline Embroidered Body Lotion,Beauty,Bath & Body,Maybelline,Green,XXL,399.0,60,159.6,1,159.6,Credit Card,Mobile App,Cancelled,8,4.0
MYN100032,2024-12-27,December,Q4,2024,CUST01741,Male,50,Pune,Maharashtra,Insider,P61043,Louis Philippe Checked Sneakers,Men,Footwear,Louis Philippe,Black,10,2039.0,60,815.6,1,815.6,Credit Card,Mobile App,Delivered,4,1.0
MYN100033,2024-11-25,November,Q4,2024,CUST01466,Male,45,Patna,Bihar,Insider,P77245,AND Formal Dupatta Set,Women,Ethnic Wear,AND,White,S,5529.0,30,3870.3,1,3870.3,Cash on Delivery,Mobile App,Cancelled,9,4.0
MYN100034,2025-12-12,December,Q4,2025,CUST01241,Male,20,Patna,Bihar,Insider,P71833,Campus Formal Canvas Shoes,Footwear,Casual Shoes,Campus,Maroon,11,1339.0,50,669.5,1,669.5,UPI,Mobile Web,Delivered,6,5.0
MYN100035,2025-09-02,September,Q3,2025,CUST02530,Female,27,Delhi,Delhi,Insider,P30863,Lakme Relaxed Fit Lipstick,Beauty,Makeup,Lakme,Red,XS,1719.0,40,1031.4,2,2062.8,Cash on Delivery,Website,Pending,7,4.0
MYN100036,2025-02-05,February,Q1,2025,CUST00970,Female,19,Patna,Bihar,Insider,P18116,H&M Regular Fit Shorts,Men,Bottomwear,H&M,Maroon,M,959.0,10,863.1,1,863.1,Myntra Wallet,Website,Delivered,2,5.0
MYN100037,2025-12-18,December,Q4,2025,CUST02351,Female,27,Bhopal,Madhya Pradesh,Insider,P98978,Biba Embroidered Sherwani,Women,Ethnic Wear,Biba,Green,S,2259.0,10,2033.1,1,2033.1,UPI,Mobile Web,Delivered,5,5.0
MYN100038,2024-02-29,February,Q1,2024,CUST00137,Male,41,Visakhapatnam,Andhra Pradesh,Insider Gold,P81641,Mamaearth Checked Compact,Beauty,Makeup,Mamaearth,Multicolor,XS,959.0,50,479.5,1,479.5,Debit Card,Mobile Web,Delivered,9,3.0
MYN100039,2023-04-16,April,Q2,2023,CUST00276,Female,18,Chandigarh,Chandigarh,Insider,P26671,Vero Moda Regular Fit Watch,Women,Accessories,Vero Moda,Orange,XL,2009.0,10,1808.1,1,1808.1,UPI,Mobile App,Cancelled,7,4.0
MYN100040,2025-10-21,October,Q4,2025,CUST01030,Male,34,Pune,Maharashtra,Insider,P19801,Vero Moda Striped Bra,Women,Lingerie,Vero Moda,Yellow,XL,1689.0,50,844.5,2,1689.0,Credit Card,Website,Delivered,6,5.0
MYN100041,2024-11-06,November,Q4,2024,CUST01930,Male,44,Lucknow,Uttar Pradesh,Insider Gold,P54308,Campus Slim Fit Sandals,Footwear,Sandals,Campus,Grey,8,1449.0,0,1449.0,1,1449.0,UPI,Mobile Web,Delivered,2,2.0
MYN100042,2023-03-27,March,Q1,2023,CUST00145,Male,55,Chennai,Tamil Nadu,Insider,P90272,Only Relaxed Fit Skirt,Women,Bottomwear,Only,White,XL,3039.0,10,2735.1,1,2735.1,UPI,Website,Delivered,3,4.0
MYN100043,2023-04-17,April,Q2,2023,CUST01243,Male,48,Bhopal,Madhya Pradesh,Non-Member,P35712,Lakme Slim Fit Face Wash,Beauty,Skincare,Lakme,Yellow,XL,2179.0,0,2179.0,1,2179.0,Cash on Delivery,Mobile App,Delivered,8,4.0
MYN100044,2024-04-10,April,Q2,2024,CUST00565,Male,51,Kochi,Kerala,Non-Member,P54974,Van Heusen Solid Kurta,Men,Topwear,Van Heusen,Grey,XS,1669.0,10,1502.1,1,1502.1,Cash on Delivery,Website,Returned,8,4.0
MYN100045,2024-12-17,December,Q4,2024,CUST02327,Male,40,Visakhapatnam,Andhra Pradesh,Non-Member,P20041,Roadster Slim Fit Wallet,Men,Accessories,Roadster,Black,S,2809.0,20,2247.2,1,2247.2,Myntra Wallet,Mobile App,Delivered,5,4.0
MYN100046,2024-08-22,August,Q3,2024,CUST00315,Male,25,Visakhapatnam,Andhra Pradesh,Non-Member,P56787,Puma Relaxed Fit Cardigan,Men,Winterwear,Puma,Multicolor,S,2839.0,20,2271.2,2,4542.4,Debit Card,Website,Delivered,5,4.0
MYN100047,2025-02-01,February,Q1,2025,CUST00222,Male,20,Jaipur,Rajasthan,Non-Member,P36680,W Regular Fit Cap,Women,Accessories,W,Blue,XL,1619.0,50,809.5,1,809.5,UPI,Mobile App,Delivered,4,3.0
MYN100048,2025-02-25,February,Q1,2025,CUST00468,Male,34,Indore,Madhya Pradesh,Insider Gold,P87101,Roadster Striped Cap,Men,Accessories,Roadster,Grey,M,5019.0,10,4517.1,1,4517.1,UPI,Mobile App,Delivered,9,5.0
MYN100049,2024-11-19,November,Q4,2024,CUST01554,Male,53,Lucknow,Uttar Pradesh,Insider,P80981,Roadster Slim Fit Lehenga,Men,Ethnic Wear,Roadster,Orange,M,7559.0,60,3023.6,1,3023.6,Cash on Delivery,Website,Delivered,6,5.0
MYN100050,2025-11-28,November,Q4,2025,CUST02546,Female,38,Coimbatore,Tamil Nadu,Insider,P60870,Roadster Floral Belt,Women,Accessories,Roadster,Purple,XXL,1949.0,50,974.5,1,974.5,UPI,Website,Delivered,6,2.0
MYN100051,2025-01-10,January,Q1,2025,CUST00541,Female,38,Bengaluru,Karnataka,Insider Gold,P81146,HomeTown Solid Dinner Set,Home & Living,Kitchen,HomeTown,Green,M,2709.0,0,2709.0,1,2709.0,Net Banking,Website,Cancelled,6,4.0
MYN100052,2025-01-04,January,Q1,2025,CUST02491,Male,37,Kochi,Kerala,Non-Member,P68170,Van Heusen Printed Loafers,Men,Footwear,Van Heusen,Beige,6,2819.0,40,1691.4,1,1691.4,Net Banking,Mobile App,Delivered,9,4.0
MYN100053,2023-12-24,December,Q4,2023,CUST00326,Female,29,Chennai,Tamil Nadu,Non-Member,P33567,Van Heusen Embroidered Sweater,Men,Winterwear,Van Heusen,Green,M,1789.0,40,1073.4,1,1073.4,Cash on Delivery,Mobile App,Delivered,4,4.0
MYN100054,2023-02-03,February,Q1,2023,CUST00755,Male,27,Ahmedabad,Gujarat,Non-Member,P82536,Allen Solly Junior Slim Fit Lehenga,Kids,Ethnic Wear,Allen Solly Junior,Purple,S,1249.0,20,999.2,3,2997.6,Debit Card,Mobile App,Delivered,7,5.0
MYN100055,2023-10-21,October,Q4,2023,CUST02077,Female,47,Patna,Bihar,Insider Gold,P84758,H&M Casual Trousers,Women,Bottomwear,H&M,Pink,XXL,2679.0,30,1875.3,2,3750.6,Credit Card,Mobile App,Cancelled,2,4.0
MYN100056,2023-02-22,February,Q1,2023,CUST01672,Male,28,Coimbatore,Tamil Nadu,Non-Member,P14083,Portico Checked Storage Container Set,Home & Living,Kitchen,Portico,Blue,M,499.0,10,449.1,2,898.2,Debit Card,Mobile App,Cancelled,3,4.0
MYN100057,2024-04-04,April,Q2,2024,CUST02082,Female,40,Visakhapatnam,Andhra Pradesh,Insider,P14272,Maybelline Checked Conditioner,Beauty,Haircare,Maybelline,Navy,XXL,509.0,10,458.1,3,1374.3,Debit Card,Mobile Web,Delivered,8,3.0
MYN100058,2024-10-06,October,Q4,2024,CUST02487,Male,52,Indore,Madhya Pradesh,Insider,P85398,AND Solid Necklace Set,Women,Jewellery,AND,Green,S,2179.0,30,1525.3,1,1525.3,Net Banking,Mobile Web,Delivered,3,4.0
MYN100059,2024-05-16,May,Q2,2024,CUST00327,Female,36,Hyderabad,Telangana,Insider,P40192,AND Checked Shorts,Women,Bottomwear,AND,Beige,L,1619.0,10,1457.1,2,2914.2,Net Banking,Mobile App,Delivered,8,3.0
MYN100060,2025-07-18,July,Q3,2025,CUST01400,Female,38,Bengaluru,Karnataka,Non-Member,P29450,Only Floral Shorts,Women,Bottomwear,Only,Maroon,L,3919.0,20,3135.2,2,6270.4,UPI,Website,Delivered,2,3.0
MYN100061,2025-05-14,May,Q2,2025,CUST01925,Female,49,Surat,Gujarat,Non-Member,P31880,Lakme Slim Fit Serum,Beauty,Skincare,Lakme,White,S,1369.0,50,684.5,2,1369.0,UPI,Mobile App,Delivered,7,5.0
MYN100062,2025-04-17,April,Q2,2025,CUST01380,Male,29,Guwahati,Assam,Insider,P24125,Story@Home Checked Cookware Set,Home & Living,Kitchen,Story@Home,Purple,XS,619.0,30,433.3,2,866.6,Cash on Delivery,Website,Delivered,9,3.0
MYN100063,2025-06-17,June,Q2,2025,CUST00752,Male,51,Kochi,Kerala,Insider,P11020,Sugar Cosmetics Printed Body Wash,Beauty,Bath & Body,Sugar Cosmetics,Maroon,XL,1029.0,40,617.4,1,617.4,Debit Card,Mobile Web,Delivered,4,5.0
MYN100064,2024-03-07,March,Q1,2024,CUST01218,Male,19,Jaipur,Rajasthan,Non-Member,P60340,Only Casual Kurta,Women,Topwear,Only,Pink,S,5739.0,0,5739.0,2,11478.0,Debit Card,Mobile App,Delivered,8,5.0
MYN100065,2023-08-06,August,Q3,2023,CUST01167,Female,28,Chennai,Tamil Nadu,Non-Member,P39312,US Polo Assn Embroidered Flip Flops,Men,Footwear,US Polo Assn,Blue,8,5659.0,20,4527.2,3,13581.6,Net Banking,Mobile App,Delivered,5,3.0
MYN100066,2025-06-30,June,Q2,2025,CUST00692,Female,54,Coimbatore,Tamil Nadu,Insider,P13378,Puma Embroidered T-Shirt,Men,Topwear,Puma,Pink,S,1919.0,60,767.6,1,767.6,Cash on Delivery,Mobile App,Delivered,4,3.0
MYN100067,2024-03-31,March,Q1,2024,CUST00492,Female,46,Patna,Bihar,Insider,P27933,W Regular Fit Cap,Women,Accessories,W,Green,XXL,4119.0,30,2883.3,2,5766.6,Credit Card,Mobile App,Delivered,3,4.0
MYN100068,2023-03-14,March,Q1,2023,CUST02101,Female,28,Kochi,Kerala,Non-Member,P23164,Mothercare Formal T-Shirt,Kids,Topwear,Mothercare,Purple,XL,2119.0,50,1059.5,1,1059.5,UPI,Mobile Web,Delivered,2,5.0
MYN100069,2024-03-14,March,Q1,2024,CUST00802,Male,17,Jaipur,Rajasthan,Insider,P75106,Louis Philippe Relaxed Fit Trousers,Men,Bottomwear,Louis Philippe,Green,S,1439.0,10,1295.1,3,3885.3,Credit Card,Mobile App,Delivered,2,3.0
MYN100070,2024-04-19,April,Q2,2024,CUST00159,Male,21,Jaipur,Rajasthan,Non-Member,P55705,Only Graphic Hoodie,Women,Winterwear,Only,Beige,XL,4049.0,10,3644.1,2,7288.2,Net Banking,Website,Delivered,6,4.0
MYN100071,2025-08-09,August,Q3,2025,CUST02226,Male,16,Delhi,Delhi,Insider,P47653,H&M Oversized Jeans,Women,Bottomwear,H&M,Grey,L,2159.0,30,1511.3,1,1511.3,Net Banking,Mobile App,Delivered,7,5.0
MYN100072,2025-04-17,April,Q2,2025,CUST01982,Male,31,Coimbatore,Tamil Nadu,Non-Member,P40783,Sugar Cosmetics Graphic Deodorant,Beauty,Fragrance,Sugar Cosmetics,Black,M,789.0,20,631.2,2,1262.4,Debit Card,Website,Delivered,2,4.0
MYN100073,2024-03-29,March,Q1,2024,CUST01811,Female,20,Hyderabad,Telangana,Insider Gold,P38697,Roadster Embroidered Jacket,Women,Winterwear,Roadster,Pink,XXL,4979.0,20,3983.2,1,3983.2,Debit Card,Mobile App,Cancelled,4,4.0
MYN100074,2023-05-10,May,Q2,2023,CUST02513,Female,32,Delhi,Delhi,Non-Member,P12767,Allen Solly Junior Slim Fit Skirt,Kids,Bottomwear,Allen Solly Junior,Orange,L,819.0,30,573.3,2,1146.6,Debit Card,Mobile App,Delivered,2,5.0
MYN100075,2023-03-15,March,Q1,2023,CUST02195,Female,34,Bhopal,Madhya Pradesh,Insider Gold,P53450,Biba Casual Saree,Women,Ethnic Wear,Biba,Grey,S,4789.0,20,3831.2,2,7662.4,Cash on Delivery,Mobile App,Delivered,2,3.0
MYN100076,2023-09-26,September,Q3,2023,CUST00174,Female,53,Patna,Bihar,Insider Gold,P42415,Roadster Graphic Sandals,Men,Footwear,Roadster,Black,8,4579.0,30,3205.3,1,3205.3,Cash on Delivery,Mobile App,Delivered,6,3.0
MYN100077,2024-10-24,October,Q4,2024,CUST01702,Male,23,Chennai,Tamil Nadu,Insider,P87095,Levis Relaxed Fit Briefs Pack,Men,Innerwear,Levis,Orange,L,1419.0,60,567.6,2,1135.2,Debit Card,Mobile App,Delivered,8,5.0
MYN100078,2024-08-05,August,Q3,2024,CUST01083,Male,49,Bhopal,Madhya Pradesh,Insider,P66299,Bata Striped Flip Flops,Footwear,Flip Flops,Bata,White,7,5819.0,50,2909.5,1,2909.5,Credit Card,Website,Pending,5,4.0
MYN100079,2024-09-28,September,Q3,2024,CUST01527,Female,37,Lucknow,Uttar Pradesh,Insider,P13262,Nykaa Checked Foundation,Beauty,Makeup,Nykaa,Grey,S,1209.0,40,725.4,1,725.4,UPI,Mobile App,Delivered,7,4.0
MYN100080,2024-04-21,April,Q2,2024,CUST00851,Male,33,Visakhapatnam,Andhra Pradesh,Insider,P28524,Story@Home Regular Fit Curtain Set,Home & Living,Furnishing,Story@Home,Grey,XL,3829.0,50,1914.5,1,1914.5,Cash on Delivery,Mobile App,Delivered,2,5.0
MYN100081,2024-04-27,April,Q2,2024,CUST00617,Female,25,Bhopal,Madhya Pradesh,Insider,P37423,H&M Striped Briefs Pack,Men,Innerwear,H&M,Orange,XL,4839.0,50,2419.5,1,2419.5,Credit Card,Mobile App,Delivered,7,3.0
MYN100082,2025-06-15,June,Q2,2025,CUST00334,Male,36,Kolkata,West Bengal,Non-Member,P26683,Campus Formal Oxford Shoes,Footwear,Formal Shoes,Campus,Orange,6,1229.0,10,1106.1,1,1106.1,UPI,Mobile App,Delivered,3,3.0
MYN100083,2025-01-31,January,Q1,2025,CUST01996,Female,33,Ahmedabad,Gujarat,Non-Member,P48895,H&M Slim Fit Sunglasses,Men,Accessories,H&M,White,L,5989.0,20,4791.2,1,4791.2,UPI,Mobile App,Delivered,4,4.0
MYN100084,2025-08-28,August,Q3,2025,CUST01521,Male,47,Chennai,Tamil Nadu,Non-Member,P53276,W Solid Cardigan,Women,Winterwear,W,Purple,XXL,5989.0,10,5390.1,1,5390.1,Credit Card,Mobile App,Delivered,2,1.0
MYN100085,2023-05-17,May,Q2,2023,CUST00023,Female,53,Bhopal,Madhya Pradesh,Insider,P70108,H&M Floral Kurta Set,Women,Ethnic Wear,H&M,Pink,XS,1249.0,40,749.4,1,749.4,Net Banking,Mobile App,Returned,7,4.0
MYN100086,2024-02-19,February,Q1,2024,CUST00058,Female,45,Lucknow,Uttar Pradesh,Insider,P50075,Adidas Checked Slides,Footwear,Sandals,Adidas,Pink,10,4679.0,20,3743.2,1,3743.2,Debit Card,Mobile App,Delivered,3,5.0
MYN100087,2025-08-27,August,Q3,2025,CUST02309,Female,20,Coimbatore,Tamil Nadu,Insider,P87616,H&M Checked Cap,Men,Accessories,H&M,Maroon,M,5819.0,60,2327.6,1,2327.6,UPI,Mobile Web,Cancelled,5,4.0
MYN100088,2025-06-19,June,Q2,2025,CUST00375,Female,28,Chandigarh,Chandigarh,Non-Member,P72320,Nike Printed Flip Flops,Footwear,Flip Flops,Nike,Multicolor,6,2149.0,0,2149.0,1,2149.0,Net Banking,Mobile App,Delivered,8,5.0
MYN100089,2023-12-07,December,Q4,2023,CUST02295,Female,20,Patna,Bihar,Non-Member,P78417,W Striped Cap,Women,Accessories,W,Pink,XL,749.0,60,299.6,2,599.2,Cash on Delivery,Mobile App,Returned,6,4.0
MYN100090,2024-12-09,December,Q4,2024,CUST02008,Female,30,Ahmedabad,Gujarat,Non-Member,P95471,HRX Kids Formal Boots,Kids,Footwear,HRX Kids,Pink,7,449.0,30,314.3,2,628.6,UPI,Mobile Web,Delivered,8,2.0
MYN100091,2025-01-25,January,Q1,2025,CUST01567,Female,18,Hyderabad,Telangana,Non-Member,P78944,H&M Casual Sweatshirt,Women,Topwear,H&M,Red,XS,3649.0,30,2554.3,1,2554.3,Debit Card,Mobile App,Delivered,6,4.0
MYN100092,2025-10-01,October,Q4,2025,CUST01961,Male,51,Bengaluru,Karnataka,Insider,P13988,Biba Checked Sweater,Women,Winterwear,Biba,Multicolor,XXL,5599.0,60,2239.6,1,2239.6,Credit Card,Website,Returned,4,4.0
MYN100093,2024-07-22,July,Q3,2024,CUST00426,Female,31,Hyderabad,Telangana,Insider,P20855,Levis Printed Shirt,Men,Topwear,Levis,Grey,XS,629.0,0,629.0,1,629.0,Net Banking,Mobile App,Delivered,5,4.0
MYN100094,2025-10-24,October,Q4,2025,CUST01297,Female,43,Chandigarh,Chandigarh,Insider,P77677,Story@Home Casual Photo Frame,Home & Living,Decor,Story@Home,Black,XXL,1999.0,0,1999.0,1,1999.0,Cash on Delivery,Mobile App,Delivered,4,5.0
MYN100095,2023-06-26,June,Q2,2023,CUST00814,Female,27,Surat,Gujarat,Insider,P45882,Gini and Jony Striped Kurta Set,Kids,Ethnic Wear,Gini and Jony,Yellow,M,1659.0,40,995.4,1,995.4,UPI,Mobile App,Returned,9,4.0
MYN100096,2024-05-20,May,Q2,2024,CUST00354,Female,21,Patna,Bihar,Non-Member,P11368,Roadster Oversized Hoodie,Men,Winterwear,Roadster,Red,XXL,2439.0,10,2195.1,2,4390.2,Cash on Delivery,Mobile Web,Delivered,6,5.0
MYN100097,2024-02-13,February,Q1,2024,CUST00544,Female,39,Bhopal,Madhya Pradesh,Insider,P28405,Biba Striped Wallet,Women,Accessories,Biba,Maroon,M,2669.0,20,2135.2,1,2135.2,Myntra Wallet,Mobile App,Delivered,4,5.0
MYN100098,2025-06-07,June,Q2,2025,CUST01455,Male,34,Delhi,Delhi,Insider,P32344,W Graphic Camisole,Women,Lingerie,W,Black,XL,2509.0,50,1254.5,1,1254.5,Net Banking,Mobile App,Delivered,7,5.0
MYN100099,2024-01-17,January,Q1,2024,CUST02064,Male,37,Coimbatore,Tamil Nadu,Insider,P38607,Vero Moda Striped Hoodie,Women,Winterwear,Vero Moda,Beige,M,489.0,10,440.1,1,440.1,UPI,Mobile App,Delivered,9,5.0
MYN100100,2023-07-25,July,Q3,2023,CUST02411,Male,38,Guwahati,Assam,Non-Member,P11035,Bombay Dyeing Casual Cookware Set,Home & Living,Kitchen,Bombay Dyeing,Blue,L,2309.0,30,1616.3,1,1616.3,Myntra Wallet,Mobile App,Delivered,4,5.0
MYN100101,2025-09-15,September,Q3,2025,CUST00090,Female,31,Jaipur,Rajasthan,Insider,P72072,Only Formal Bangles,Women,Jewellery,Only,Multicolor,S,1749.0,30,1224.3,1,1224.3,Credit Card,Mobile Web,Pending,8,4.0
MYN100102,2025-12-09,December,Q4,2025,CUST02077,Female,47,Patna,Bihar,Insider Gold,P87735,US Polo Assn Formal Dupatta Set,Men,Ethnic Wear,US Polo Assn,Black,S,4499.0,20,3599.2,2,7198.4,Myntra Wallet,Mobile App,Delivered,5,4.0
MYN100103,2023-12-19,December,Q4,2023,CUST00221,Male,54,Patna,Bihar,Non-Member,P61903,Nike Embroidered Slides,Footwear,Sandals,Nike,Blue,9,309.0,10,278.1,1,278.1,Credit Card,Mobile Web,Delivered,6,4.0
MYN100104,2025-08-25,August,Q3,2025,CUST01003,Male,33,Kolkata,West Bengal,Non-Member,P30883,Van Heusen Embroidered Sweater,Men,Winterwear,Van Heusen,Pink,XS,2989.0,30,2092.3,1,2092.3,Cash on Delivery,Website,Delivered,8,5.0
